id_amat;stato;via_id;via_tipo;via_nome;num_civico;municipio;veicoli;tipo_man;nmanufatti;stalli_man;stalli_totali;ubicazione;LONG_X_4326;LAT_Y_4326;Location
"3";Esistente;"1545";Viale;Viale Affori;"21";"9";Velocipedi;Verona _ Ambrogio;"6";"5";"30";Area verde – Giardino – Parco;9.16748845209833;45.5169204375746;"(45.5169204375746, 9.16748845209833)"
"4";Esistente;"1545";Viale;Viale Affori;"21";"9";Velocipedi;Verona _ Ambrogio;"2";"5";"10";Alla quota della carreggiata;9.16831683266888;45.516977424724;"(45.516977424724, 9.16831683266888)"
"8";Esistente;"6330";Via;Via Gaetano Airaghi;"42";"7";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.08480114510264;45.4762825397617;"(45.4762825397617, 9.08480114510264)"
"9";Esistente;"7165";Via;Via Alcuino;"4";"8";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.1567254420346;45.4822802973057;"(45.4822802973057, 9.1567254420346)"
"10";Esistente;"6660";Via;Via dell'Allodola;"5";"6";Velocipedi;0_Non precisato;"2";"2";"4";Marciapiede;9.12092287444161;45.4551636624159;"(45.4551636624159, 9.12092287444161)"
"13";Esistente;"6660";Via;Via dell'Allodola;"5";"6";"Condivisa (Velocipedi, Motocicli e Ciclomotori)";Archetto Milano _ Acciaio inox _ Passo cm 80;"2";"2";"4";Marciapiede;9.12079446152265;45.455132571523;"(45.455132571523, 9.12079446152265)"
"14";Esistente;"7340";Via;Via Carlo Amoretti;"0";"9";Velocipedi;Verona;"4";"5";"20";Marciapiede;9.14559663217184;45.5193700556835;"(45.5193700556835, 9.14559663217184)"
"15";Esistente;"7368";Via;Via Renato Simoni;"0";"8";Velocipedi;Verona;"2";"5";"10";Marciapiede;9.14519699605659;45.5189864352799;"(45.5189864352799, 9.14519699605659)"
"16";Esistente;"7496";Via;Via delle Ande;"4";"8";Velocipedi;Verona _ Ambrogio;"3";"5";"15";Cortile o altro spazio collegato al civico;9.12488120313487;45.4942245310532;"(45.4942245310532, 9.12488120313487)"
"17";Esistente;"6718";Via;Via degli Anemoni;"10";"6";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.12963385565262;45.4547925449406;"(45.4547925449406, 9.12963385565262)"
"18";Esistente;"6782";Via;Via Anselmo da Baggio;"55";"7";Velocipedi;Verona;"2";"5";"10";Cortile o altro spazio collegato al civico;9.08851524664992;45.4637188328314;"(45.4637188328314, 9.08851524664992)"
"19";Esistente;"6718";Via;Via degli Anemoni;"8";"6";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.13064390130097;45.4558269694753;"(45.4558269694753, 9.13064390130097)"
"20";Esistente;"6718";Via;Via degli Anemoni;"8";"6";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.13004275013523;45.4561211003984;"(45.4561211003984, 9.13004275013523)"
"22";Esistente;"3252";Via;Via Aquila;"81";"4";Velocipedi;Verona;"1";"6";"6";Cortile o altro spazio collegato al civico;9.24886110584462;45.4639423495292;"(45.4639423495292, 9.24886110584462)"
"23";Esistente;"5152";Via;Via Filippo Argelati;"25";"6";Velocipedi;Verona;"1";"6";"6";Cortile o altro spazio collegato al civico;9.17055045930335;45.4488298502027;"(45.4488298502027, 9.17055045930335)"
"24";Esistente;"6835";Via;Via Arioli Venegoni;"9";"7";Velocipedi;Verona;"1";"5";"5";Cortile o altro spazio collegato al civico;9.11125555642554;45.468134641314;"(45.468134641314, 9.11125555642554)"
"25";Esistente;"1619";Via;Via Asturie;"1";"9";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.20503195408534;45.5162758718963;"(45.5162758718963, 9.20503195408534)"
"26";Esistente;"7517";Via;Via Ugo Betti;"0";"8";Velocipedi;Verona;"1";"5";"5";Marciapiede;9.1105043800354;45.496743036436;"(45.496743036436, 9.1105043800354)"
"27";Esistente;"7517";Via;Via Ugo Betti;"0";"8";Velocipedi;Verona;"5";"5";"25";Marciapiede;9.11041342041908;45.4968010275135;"(45.4968010275135, 9.11041342041908)"
"29";Esistente;"1267";Via;Via Filippo Baldinucci;"76";"9";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.16856017398887;45.5035339634969;"(45.5035339634969, 9.16856017398887)"
"30";Esistente;"5447";Via;Via Riccardo Balsamo Crivelli;"3";"6";Velocipedi;Verona _ Ambrogio;"3";"5";"15";Cortile o altro spazio collegato al civico;9.13813858283873;45.4383703352741;"(45.4383703352741, 9.13813858283873)"
"31";Esistente;"5356";Via;Via Barona;"70";"6";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.14794619935886;45.4322600244713;"(45.4322600244713, 9.14794619935886)"
"32";Esistente;"5001";Piazza;Piazza Berlinguer Enrico;"0";"6";Velocipedi;Verona;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.15105452122561;45.4498551349395;"(45.4498551349395, 9.15105452122561)"
"33";Esistente;"5001";Piazza;Piazza Berlinguer Enrico;"0";"6";Velocipedi;Verona;"2";"5";"10";Area pedonale (regolamentata o di fatto);9.15125565355441;45.4496271935146;"(45.4496271935146, 9.15125565355441)"
"34";Esistente;"5001";Piazza;Piazza Berlinguer Enrico;"0";"6";Velocipedi;Verona;"2";"5";"10";Area pedonale (regolamentata o di fatto);9.15152526855754;45.4497156355735;"(45.4497156355735, 9.15152526855754)"
"35";Esistente;"6828";Via;Via delle Betulle;"10";"7";Velocipedi;Verona;"2";"5";"10";Marciapiede;9.08339120354375;45.4531768747004;"(45.4531768747004, 9.08339120354375)"
"36";Esistente;"6828";Via;Via delle Betulle;"15";"7";Velocipedi;Verona;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.08145847212697;45.4525293100208;"(45.4525293100208, 9.08145847212697)"
"37";Esistente;"6828";Via;Via delle Betulle;"17";"7";Velocipedi;Verona;"2";"5";"10";Marciapiede;9.08120898677356;45.4528704649722;"(45.4528704649722, 9.08120898677356)"
"38";Esistente;"6706";Via;Via dei Calchi Taeggi;"0";"6";Velocipedi;Verona;"3";"5";"15";Parcheggio in struttura;9.1138528468045;45.4546385281729;"(45.4546385281729, 9.1138528468045)"
"39";Esistente;"4050";Via;Via Ferdinando Bocconi;"17";"5";Velocipedi;Redondo Inox;"2";"5";"10";Cortile o altro spazio collegato al civico;9.19092607483022;45.4490610427273;"(45.4490610427273, 9.19092607483022)"
"40";Esistente;"7523";Via;Via Mario Borsa;"0";"8";Velocipedi;Verona;"1";"6";"6";Marciapiede;9.10305562173091;45.5002082905908;"(45.5002082905908, 9.10305562173091)"
"41";Esistente;"2521";Via;Via Vittorio Bottego;"4";"2";Velocipedi;Redondo Inox;"1";"5";"5";Cortile o altro spazio collegato al civico;9.24371689569023;45.5033630094749;"(45.5033630094749, 9.24371689569023)"
"42";Esistente;"4222";Via;Via Carlo Bazzi;"18";"5";Velocipedi;Verona _ Ambrogio;"4";"5";"20";Cortile o altro spazio collegato al civico;9.18743870833669;45.4435311489469;"(45.4435311489469, 9.18743870833669)"
"43";Esistente;"5463";Largo;Largo Ascari;"0";"6";Velocipedi;Verona _ Ambrogio;"2";"5";"10";Marciapiede;9.16755552763489;45.4436125257233;"(45.4436125257233, 9.16755552763489)"
"44";Esistente;"709";Via;Via Luca Beltrami;;"1";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.1814261476439;45.4685178832678;"(45.4685178832678, 9.1814261476439)"
"45";Esistente;"709";Via;Via Luca Beltrami;;"1";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.18147581662896;45.4684782194058;"(45.4684782194058, 9.18147581662896)"
"47";Esistente;"709";Via;Via Luca Beltrami;;"1";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.18187793247144;45.4688406394932;"(45.4688406394932, 9.18187793247144)"
"48";Esistente;"709";Via;Via Luca Beltrami;;"1";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Area pedonale (regolamentata o di fatto);9.18176804719968;45.4689340028486;"(45.4689340028486, 9.18176804719968)"
"50";Esistente;"6254";Piazza;Piazza Piemonte;"4";"7";Velocipedi;Verona _ Ambrogio;"2";"5";"10";Marciapiede;9.15545812931339;45.4666699631679;"(45.4666699631679, 9.15545812931339)"
"52";Esistente;"6254";Piazza;Piazza Piemonte;;"7";Velocipedi;Verona _ Ambrogio;"2";"5";"10";Marciapiede;9.15482043173438;45.4659653313601;"(45.4659653313601, 9.15482043173438)"
"53";Esistente;"6254";Piazza;Piazza Piemonte;"12";"7";Velocipedi;Verona _ Ambrogio;"1";"5";"5";Marciapiede;9.15441055536531;45.466525950246;"(45.466525950246, 9.15441055536531)"
