id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"1";"1064";PIAZZA VENTICINQUE APRILE;;urbana;promiscuo pedoni;attraversamento;bidirezionale;attraversamento - generico;"8";9.1870305186785;45.4809876471498;"(45.4809876471498, 9.1870305186785)"
"2";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"7";9.24194464907128;45.4392715546864;"(45.4392715546864, 9.24194464907128)"
"3";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"8";9.23995617266987;45.4400199268851;"(45.4400199268851, 9.23995617266987)"
"4";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"5";9.23918713129895;45.442769857648;"(45.442769857648, 9.23918713129895)"
"5";"3377";VIA GIACOMO MEDICI DEL VASCELLO;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;ordinanza lavori stradali;"3";9.23998716620631;45.4400362237505;"(45.4400362237505, 9.23998716620631)"
"6";"1360";VIALE MARCHE;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"18";9.1976842242398;45.4948586428903;"(45.4948586428903, 9.1976842242398)"
"9";"4068";CORSO LODI;;urbana;promiscuo veicoli;carreggiata;monodirezionale - concorde;FACILITAZIONE - Z30;"297";9.2048372915339;45.4507560352345;"(45.4507560352345, 9.2048372915339)"
"11";"5144";ALZAIA NAVIGLIO GRANDE;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"31";9.16836622631264;45.450564438617;"(45.450564438617, 9.16836622631264)"
"12";"1414";VIA TOFANE;;urbana;promiscuo veicoli;carreggiata;bidirezionale;FACILITAZIONE - divieto di transito ecc. bici;"33";9.22174169870529;45.503530305379;"(45.503530305379, 9.22174169870529)"
"13";"2153";VIA LAZZARO SPALLANZANI;;urbana;promiscuo pedoni;carreggiata;bidirezionale;FACILITAZIONE - area pedonale;"172";9.20633204495567;45.4752866869338;"(45.4752866869338, 9.20633204495567)"
