tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA STIGLIANO;88;6720;20153;7;87;Parco Agricolo Sud;9.04388655954;45.4657534271;45.4657534271, 9.04388655954
VIA IDRO;61;2414;20132;2;17;ADRIANO;9.25799511618;45.5183830554;45.5183830554, 9.25799511618
VIA OLGETTINA;30;2530;20132;3;18;Parco Lambro - CIMIANO;9.26430395568;45.5097591921;45.5097591921, 9.26430395568
VIA DAIMLER GOTTLIEB WILHELM;20;7587;20151;8;72;MAGGIORE - MUSOCCO;9.09891515836;45.5114226219;45.5114226219, 9.09891515836
VIA CORELLI ARCANGELO;136;3243;20134;3;24;Parco Forlanini - ORTICA;9.26362690712;45.4699549803;45.4699549803, 9.26362690712
VIA NOCE TERESA;5;5458;20142;5;41;GRATOSOGLIO - TICINELLO;9.16984070557;45.4172682024;45.4172682024, 9.16984070557
VIA RIPAMONTI GIUSEPPE;483N01;4066;20141;5;85;Parco delle Abbazie;9.20818329473;45.4082035376;45.4082035376, 9.20818329473
VIA BROGGINI BONAVENTURA;31;6700;20152;7;55;BAGGIO;9.09551299673;45.4652411187;45.4652411187, 9.09551299673
VIA CESARI ANTONIO;40;1603;20162;9;84;Parco Nord;9.18495362325;45.5196943457;45.5196943457, 9.18495362325
VIA AIRAGHI GAETANO;131;6330;20153;7;88;Parco Bosco in città;9.07875814647;45.4711581801;45.4711581801, 9.07875814647
VIA MUGGIANO;76;6715;20152;7;87;Parco Agricolo Sud;9.07802249901;45.4449962712;45.4449962712, 9.07802249901
VIA RIZZOLI ANGELO;70;2588;20132;3;18;Parco Lambro - CIMIANO;9.2551074817;45.5078150408;45.5078150408, 9.2551074817
VIA PASOLINI PIER PAOLO;7;7614;20151;8;72;MAGGIORE - MUSOCCO;9.10080676691;45.5085029083;45.5085029083, 9.10080676691
VIA PASOLINI PIER PAOLO;9;7614;20151;8;72;MAGGIORE - MUSOCCO;9.10091912639;45.5090030643;45.5090030643, 9.10091912639
VIA PASOLINI PIER PAOLO;19;7614;20151;8;72;MAGGIORE - MUSOCCO;9.09946508542;45.5121137344;45.5121137344, 9.09946508542
VIA PASOLINI PIER PAOLO;19P01;7614;20151;8;72;MAGGIORE - MUSOCCO;9.09927723961;45.5122343846;45.5122343846, 9.09927723961
VIA PASOLINI PIER PAOLO;19P02;7614;20151;8;72;MAGGIORE - MUSOCCO;9.09975872941;45.5120059415;45.5120059415, 9.09975872941
VIA PRATO;28P01;6926;20152;7;56;FORZE ARMATE;9.10367723907;45.4531757411;45.4531757411, 9.10367723907
VIA VALPOLICELLA;22;5361;20142;6;48;RONCHETTO S/N;9.13351022678;45.4349390117;45.4349390117, 9.13351022678
VIA MENGONI LUIGI;3P01;6930;20152;6;53;LORENTEGGIO;9.10747627729;45.4538476285;45.4538476285, 9.10747627729
VIA PASTA GIUDITTA;136P01;1583;20161;9;84;Parco Nord;9.17901139161;45.5297647834;45.5297647834, 9.17901139161
PIAZZALE MARTIRI DELLA DEPORTAZIONE;1P01;1697;20161;9;84;Parco Nord;9.1794727367;45.5293020822;45.5293020822, 9.1794727367
VIA MARTIRANO;1;6725;20152;7;87;Parco Agricolo Sud;9.06029463226;45.4359414005;45.4359414005, 9.06029463226
VIA KULISCIOFF ANNA;37P01;6812;20152;6;53;LORENTEGGIO;9.11267876067;45.446399416;45.446399416, 9.11267876067
VIA CAMPORGNAGO;59;4358;20141;5;39;QUINTOSOLE;9.20623279712;45.3937614575;45.3937614575, 9.20623279712
VIA RASARIO GIOVANNI BATTISTA;18D;6840;20153;7;63;FIGINO;9.07547095752;45.4908761131;45.4908761131, 9.07547095752
VIA DE CHIRICO GIORGIO;6I;6865;20151;8;88;Parco Bosco in città;9.0978711579;45.4914442039;45.4914442039, 9.0978711579
VIA DE CHIRICO GIORGIO;6D;6865;20151;8;88;Parco Bosco in città;9.09783782591;45.4928087959;45.4928087959, 9.09783782591
VIA BROGGINI BONAVENTURA;31P01;6700;20152;7;55;BAGGIO;9.09572185144;45.4653308646;45.4653308646, 9.09572185144
VIA PASOLINI PIER PAOLO;2;7614;20151;8;72;MAGGIORE - MUSOCCO;9.10406741064;45.5064964591;45.5064964591, 9.10406741064
VIA PASOLINI PIER PAOLO;4;7614;20151;8;72;MAGGIORE - MUSOCCO;9.10408171182;45.5065556187;45.5065556187, 9.10408171182
VIA PASOLINI PIER PAOLO;4P01;7614;20151;8;72;MAGGIORE - MUSOCCO;9.10409015598;45.5066110499;45.5066110499, 9.10409015598
VIALE RUBICONE;29;1568;20161;9;83;BRUZZANO;9.16304480223;45.530374288;45.530374288, 9.16304480223
VIALE RUBICONE;30;1568;20161;9;83;BRUZZANO;9.16430127222;45.5298047021;45.5298047021, 9.16430127222
VIALE RUBICONE;31;1568;20161;9;83;BRUZZANO;9.16268659721;45.5308992709;45.5308992709, 9.16268659721
VIA COMASINA;80;1573;20161;9;83;BRUZZANO;9.16357697229;45.5289300267;45.5289300267, 9.16357697229
VIA COMASINA;138;1573;20161;9;83;BRUZZANO;9.16185405657;45.5332383203;45.5332383203, 9.16185405657
VIA ORNATO LUIGI;169;1591;20161;9;84;Parco Nord;9.19252319255;45.5276990104;45.5276990104, 9.19252319255
VIA ORNATO LUIGI;174/6;1591;20162;9;84;Parco Nord;9.19377824051;45.5273356745;45.5273356745, 9.19377824051
VIA PESARO;50;1636;20161;9;83;BRUZZANO;9.17098647797;45.5343436927;45.5343436927, 9.17098647797
VIA SENIGALLIA;12/8;1708;20161;9;83;BRUZZANO;9.16929344202;45.535269856;45.535269856, 9.16929344202
VIA COMBONI DANIELE;8;1715;20161;9;84;Parco Nord;9.18450077802;45.5249020457;45.5249020457, 9.18450077802
VIA FINANZIERI D'ITALIA;14;1729;20162;9;14;NIGUARDA - CA' GRANDA;9.2004152256;45.528737119;45.528737119, 9.2004152256
VIA PADOVA;366;2275;20132;3;18;Parco Lambro - CIMIANO;9.25741594986;45.5117177825;45.5117177825, 9.25741594986
VIA PADOVA;370;2275;20132;3;18;Parco Lambro - CIMIANO;9.25788215214;45.5118491132;45.5118491132, 9.25788215214
VIA PADOVA;389;2275;20132;2;17;ADRIANO;9.26012678961;45.5125621502;45.5125621502, 9.26012678961
VIA PADOVA;390M01;2275;20132;3;18;Parco Lambro - CIMIANO;9.26018562746;45.5114623263;45.5114623263, 9.26018562746
VIA PADOVA;395;2275;20132;2;17;ADRIANO;9.26111506667;45.5128242243;45.5128242243, 9.26111506667
VIA PADOVA;401;2275;20132;2;17;ADRIANO;9.26287981334;45.5134229323;45.5134229323, 9.26287981334
VIA TRASIMENO;86/10;2411;20128;2;17;ADRIANO;9.2499762482;45.5177778987;45.5177778987, 9.2499762482
VIA MAMETE (SAN);98;2413;20128;2;17;ADRIANO;9.25367273206;45.5145938529;45.5145938529, 9.25367273206
VIA MAMETE (SAN);110;2413;20128;2;17;ADRIANO;9.25464279219;45.5173141295;45.5173141295, 9.25464279219
VIA IDRO;50;2414;20132;2;17;ADRIANO;9.25490593389;45.5146664684;45.5146664684, 9.25490593389
VIA IDRO;62;2414;20132;2;17;ADRIANO;9.25838217868;45.5185428283;45.5185428283, 9.25838217868
VIA IDRO;65;2414;20132;2;17;ADRIANO;9.25878116002;45.5189501959;45.5189501959, 9.25878116002
VIA OLGETTINA;65;2530;20132;3;18;Parco Lambro - CIMIANO;9.27354567689;45.5052420466;45.5052420466, 9.27354567689
VIA OLGETTINA;70;2530;20132;3;18;Parco Lambro - CIMIANO;9.27411012073;45.5049337001;45.5049337001, 9.27411012073
VIA OLGETTINA;80;2530;20132;3;18;Parco Lambro - CIMIANO;9.27575263902;45.5042371989;45.5042371989, 9.27575263902
VIA RIZZOLI ANGELO;86/6;2588;20132;3;18;Parco Lambro - CIMIANO;9.25954512058;45.5104791407;45.5104791407, 9.25954512058
CAVALCAVIA CASCINA GOBBA;18;2610;20132;2;17;ADRIANO;9.26314954508;45.513702803;45.513702803, 9.26314954508
CAVALCAVIA CASCINA GOBBA;22;2610;20132;2;17;ADRIANO;9.26578168612;45.5130841664;45.5130841664, 9.26578168612
VIA RUBATTINO RAFFAELE;94;2686;20134;3;23;LAMBRATE;9.26316703258;45.4797207126;45.4797207126, 9.26316703258
VIA CIMA CAMILLO E OTTO;48;2690;20134;3;23;LAMBRATE;9.25463699087;45.4732100634;45.4732100634, 9.25463699087
VIA CIMA CAMILLO E OTTO;50;2690;20134;3;23;LAMBRATE;9.25571548574;45.4734060264;45.4734060264, 9.25571548574
VIA CIMA CAMILLO E OTTO;101/31/A;2690;20134;3;23;LAMBRATE;9.26091245975;45.4767172887;45.4767172887, 9.26091245975
VIA CIMA CAMILLO E OTTO;101/31/B;2690;20134;3;23;LAMBRATE;9.26083801097;45.4769078179;45.4769078179, 9.26083801097
VIA LICATA;41;2692;20134;3;18;Parco Lambro - CIMIANO;9.25111177711;45.498681579;45.498681579, 9.25111177711
VIA LICATA;43;2692;20134;3;18;Parco Lambro - CIMIANO;9.25178897568;45.4990107653;45.4990107653, 9.25178897568
VIALE VAN GOGH VINCENT;2;2698;20134;3;18;Parco Lambro - CIMIANO;9.2490481349;45.4953062471;45.4953062471, 9.2490481349
VIALE VAN GOGH VINCENT;10;2698;20134;3;18;Parco Lambro - CIMIANO;9.25254165609;45.4949216368;45.4949216368, 9.25254165609
VIALE TURCHIA;44;2700;20134;3;18;Parco Lambro - CIMIANO;9.25606503998;45.4948577625;45.4948577625, 9.25606503998
PIAZZA CADUTI E DISPERSI IN RUSSIA;1;2703;20134;3;18;Parco Lambro - CIMIANO;9.25524646006;45.4899783568;45.4899783568, 9.25524646006
VIA PESCARA;99;5445;20142;5;85;Parco delle Abbazie;9.18270109318;45.3960602688;45.3960602688, 9.18270109318
VIA CORELLI ARCANGELO;35B;3243;20134;3;24;Parco Forlanini - ORTICA;9.25400823305;45.4723499623;45.4723499623, 9.25400823305
VIA CORELLI ARCANGELO;51;3243;20134;3;24;Parco Forlanini - ORTICA;9.25368942185;45.4714491994;45.4714491994, 9.25368942185
VIA CORELLI ARCANGELO;134;3243;20134;4;24;Parco Forlanini - ORTICA;9.26105170131;45.469215306;45.469215306, 9.26105170131
VIA CORELLI ARCANGELO;138;3243;20134;4;24;Parco Forlanini - ORTICA;9.26526901848;45.4706627736;45.4706627736, 9.26526901848
VIA CORELLI ARCANGELO;142;3243;20134;3;24;Parco Forlanini - ORTICA;9.26601002708;45.471599413;45.471599413, 9.26601002708
VIA TAVERNA;71;3260;20134;4;24;Parco Forlanini - ORTICA;9.25679971186;45.465211132;45.465211132, 9.25679971186
VIA TAVERNA;72;3260;20134;4;24;Parco Forlanini - ORTICA;9.25663404815;45.4650517023;45.4650517023, 9.25663404815
VIA TAVERNA;85;3260;20134;4;24;Parco Forlanini - ORTICA;9.25891201941;45.4636040339;45.4636040339, 9.25891201941
VIA SALESINA;71;3261;20134;4;24;Parco Forlanini - ORTICA;9.26803989084;45.4672739941;45.4672739941, 9.26803989084
VIALE FORLANINI ENRICO;37;3318;20134;4;24;Parco Forlanini - ORTICA;9.24630338915;45.4621461944;45.4621461944, 9.24630338915
VIALE FORLANINI ENRICO;75;3318;20134;4;24;Parco Forlanini - ORTICA;9.25678421054;45.4620749427;45.4620749427, 9.25678421054
VIALE FORLANINI ENRICO;86;3318;20138;4;31;Parco Monluè - PONTE LAMBRO;9.25868025945;45.461556825;45.461556825, 9.25868025945
VIALE FORLANINI ENRICO;121;3318;20134;4;24;Parco Forlanini - ORTICA;9.26752464953;45.4620141152;45.4620141152, 9.26752464953
VIALE AVIAZIONE (DELL');65;3319;20138;4;31;Parco Monluè - PONTE LAMBRO;9.25988848004;45.4547989971;45.4547989971, 9.25988848004
VIA MONLUE';143;3320;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26199047761;45.4467555477;45.4467555477, 9.26199047761
VIA MONLUE';147;3320;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26055942364;45.4489600061;45.4489600061, 9.26055942364
VIA BONFADINI ROMUALDO;160;3341;20138;4;30;MECENATE;9.25498087225;45.4447066481;45.4447066481, 9.25498087225
VIA BONFADINI ROMUALDO;162;3341;20138;4;30;MECENATE;9.25522240228;45.4446053187;45.4446053187, 9.25522240228
VIA BONFADINI ROMUALDO;164;3341;20138;4;30;MECENATE;9.25542533799;45.4445104851;45.4445104851, 9.25542533799
VIA BONFADINI ROMUALDO;166;3341;20138;4;30;MECENATE;9.25554017861;45.4444572126;45.4444572126, 9.25554017861
VIA BONFADINI ROMUALDO;168;3341;20138;4;30;MECENATE;9.2558658754;45.4443178257;45.4443178257, 9.2558658754
VIA MORSENCHIO;32;3343;20138;4;30;MECENATE;9.24680387922;45.4428579686;45.4428579686, 9.24680387922
VIA MARIGNANO;75;3351;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26386819371;45.4336508909;45.4336508909, 9.26386819371
VIA MARIGNANO;77;3351;20138;4;31;Parco Monluè - PONTE LAMBRO;9.2641267046;45.4339229096;45.4339229096, 9.2641267046
VIA MARIGNANO;81;3351;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26474639662;45.4337661014;45.4337661014, 9.26474639662
STRADA PAULLESE;9/1;3373;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26245692064;45.4333355102;45.4333355102, 9.26245692064
STRADA PAULLESE;9;3373;20138;4;31;Parco Monluè - PONTE LAMBRO;9.26181618558;45.4334860422;45.4334860422, 9.26181618558
VIA RIPAMONTI GIUSEPPE;561;4066;20141;5;85;Parco delle Abbazie;9.20938739384;45.4017137259;45.4017137259, 9.20938739384
