idImpianto;Gestore;Bandiera;Tipo Impianto;Nome Impianto;Indirizzo;Comune;Provincia;CAP;MUNICIPIO;ID_NIL;NIL;Longitudine;Latitudine;Location
28709;GIARRUSSO CIRO;KEROPETROL;Stradale;GIARRUSSO-VIA MARINA;VIA MARINA SNC 20121;MILANO;MI;20121;1;4;GUASTALLA;9.199553826277;45.4710015838651;(45.4710015838651,9.199553826277)
34486;T.D.M. S.R.L.;Tamoil;Stradale;8052;PALESTRO 16 20121;MILANO;MI;20121;1;3;GIARDINI P.TA VENEZIA;9.19944651424885;45.4731672770989;(45.4731672770989,9.19944651424885)
42398;GALLI AGNESE;KEROPETROL;Stradale;GALLI AGNESE ;via san marco  13 20121;MILANO;MI;20121;1;2;BRERA;9.18815113621099;45.4750558301903;(45.4750558301903,9.18815113621099)
56141;DM S.A.S. DI DONADEI MATTIA E C.;Api-Ip;Stradale;IP;Via Giuseppe Ripamonti 567 20142;MILANO;MI;20121;1;2;BRERA;9.1919;45.4713;(45.4713,9.1919)
56142;DM S.A.S. DI DONADEI MATTIA E C.;Api-Ip;Stradale;IP;Via Giuseppe Ripamonti 567 20142;MILANO;MI;20121;1;2;BRERA;9.1919;45.4713;(45.4713,9.1919)
15890;CALOR SYSTEMS S.R.L.;Api-Ip;Stradale;MILANO REPUBBLICA;PIAZZA DELLA REPUBBLICA 5 20124;MILANO;MI;20121;1;2;BRERA;9.19595092535019;45.477935609704;(45.477935609704,9.19595092535019)
17894;GARAGE VELASCA S.R.L.;Api-Ip;Stradale;IP API;VIA VISCONTI DI MODRONE 12 20122;MILANO;MI;20122;1;4;GUASTALLA;9.19994540380571;45.4644384579492;(45.4644384579492,9.19994540380571)
15888;CALOR SYSTEMS S.R.L.;Api-Ip;Stradale;MILANO BEATRICE;VIALE BEATRICE D'ESTE 34A 20122;MILANO;MI;20122;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.19396594855652;45.4518402110582;(45.4518402110582,9.19396594855652)
12348;GALLI AGNESE;KEROPETROL;Stradale;galli agnese;VIA ENRICO TOTI 2 20123;MILANO;MI;20123;1;7;MAGENTA - S. VITTORE;9.16615269328645;45.4668634802216;(45.4668634802216,9.16615269328645)
22003;F.LLI DI LEO S.A.S. DI DI LEO GIACOMO MARIA & C.;Agip Eni;Stradale;pv56232;VIALE PAPINIANO 54 20123;MILANO;MI;20123;1;7;MAGENTA - S. VITTORE;9.17105508685529;45.4569904208801;(45.4569904208801,9.17105508685529)
12379;SMILEPETROL S.R.L.;Api-Ip;Stradale;SMILEPETROL SNC;VIALE DI PORTA VERCELLINA SNC 20123;MILANO;MI;20123;1;7;MAGENTA - S. VITTORE;9.16580569675807;45.465781610235;(45.465781610235,9.16580569675807)
25774;GAIO S.N.C. DI GAIO MARCO & C.;Agip Eni;Stradale;GAIO SNC;VIA LUIGI GALVANI 34 20124;MILANO;MI;20124;2;11;ISOLA;9.19648066163063;45.4880930363534;(45.4880930363534,9.19648066163063)
4855;ZUCCHI ANTONIO;Esso;Stradale;ZUCCHI ANTONIO;LUIGI GALVANI 0018 20124;MILANO;MI;20124;2;10;STAZIONE CENTRALE - PONTE SEVESO;9.1983855;45.4868862;(45.4868862,9.1983855)
52175;STZ SERVICE S.N.C. DI ZAMBONI STEFANO E ZAMBONI TOMMASO;Agip Eni;Stradale;ENI;VIA EMILIO DEMARCHI 37 20125;MILANO;MI;20125;2;13;GRECO - SEGNANO;9.20956205769153;45.5013133973259;(45.5013133973259,9.20956205769153)
5418;ENI FUEL S.P.A.;Agip Eni;Stradale;2238 MILANO;Viale Marche 32 20125;MILANO;MI;20125;2;12;MACIACHINI - MAGGIOLINA;9.19585517956739;45.4954747946008;(45.4954747946008,9.19585517956739)
