linea;mezzo;percorso;orario;tipo_giorno;inizio;fine;corse_gior;corse_punt;corse_morb;corse_sera
"4";METRO;"100151";EST2024;L;06:00;00:32;"334";"40";"40";"21"
"2";METRO;"100060";EST2024;L;16:32;00:31;"5";"0";"0";"3"
"5";METRO;"100089";EST2024;F;06:00;00:26;"252";"30";"30";"18"
"1";METRO;"100030";EST2024;F;06:23;00:54;"89";"9";"10";"8"
"1";METRO;"100033";EST2024;S;05:40;00:55;"132";"15";"16";"7"
"1";METRO;"100035";EST2024;S;05:46;00:36;"130";"16";"16";"8"
"1";METRO;"100043";EST2024;S;06:39;07:17;"1";"0";"0";"0"
"2";METRO;"100080";EST2024;F;06:05;06:10;"1";"0";"0";"0"
"1";METRO;"100033";EST2024;F;06:15;00:55;"90";"8";"10";"8"
"1";METRO;"100038";EST2024;S;06:00;06:57;"5";"0";"0";"0"
"2";METRO;"100053";EST2024;S;16:16;00:30;"9";"0";"0";"4"
"2";METRO;"100074";EST2024;F;12:30;00:09;"9";"0";"0";"3"
"2";METRO;"100047";EST2024;L;05:46;21:33;"5";"0";"1";"0"
"2";METRO;"100052";EST2024;F;06:05;01:05;"22";"3";"4";"4"
"5";METRO;"100089";EST2024;L;05:40;00:26;"283";"36";"30";"19"
"1";METRO;"100033";EST2024;L;05:40;00:55;"161";"26";"16";"7"
"1";METRO;"100030";EST2024;L;05:50;00:54;"164";"26";"16";"8"
"1";METRO;"100035";EST2024;F;06:19;00:36;"89";"9";"10";"8"
"1";METRO;"100043";EST2024;L;17:00;17:40;"1";"0";"0";"0"
"2";METRO;"100050";EST2024;L;09:49;00:31;"4";"0";"1";"1"
"2";METRO;"100067";EST2024;F;06:06;00:54;"32";"2";"0";"2"
"2";METRO;"100067";EST2024;L;05:50;00:54;"108";"21";"9";"2"
"5";METRO;"100089";EST2024;S;05:40;00:26;"254";"30";"30";"18"
"3";METRO;"100081";EST2024;L;05:45;00:50;"236";"35";"24";"13"
"3";METRO;"100082";EST2024;S;05:40;00:53;"183";"22";"22";"13"
"2";METRO;"100050";EST2024;F;12:40;00:31;"3";"0";"0";"1"
"2";METRO;"100048";EST2024;S;05:40;01:30;"69";"12";"6";"0"
"2";METRO;"100070";EST2024;S;06:09;06:15;"1";"0";"0";"0"
"1";METRO;"100023";EST2024;L;06:28;07:01;"1";"0";"0";"0"
"2";METRO;"100045";EST2024;F;06:20;00:16;"56";"7";"8";"7"
"2";METRO;"100045";EST2024;L;10:05;00:16;"43";"0";"9";"7"
"2";METRO;"100095";EST2024;L;06:18;07:18;"1";"0";"0";"0"
"3";METRO;"100081";EST2024;S;05:45;00:50;"183";"22";"21";"13"
"4";METRO;"100151";EST2024;F;06:00;00:32;"284";"30";"30";"20"
"4";METRO;"100151";EST2024;S;06:00;00:32;"314";"40";"40";"20"
"5";METRO;"100084";EST2024;S;05:40;00:28;"254";"30";"30";"20"
"1";METRO;"100013";EST2024;F;06:09;06:49;"1";"0";"0";"0"
"2";METRO;"100066";EST2024;F;08:07;00:19;"14";"2";"4";"2"
"2";METRO;"100070";EST2024;L;06:06;06:13;"1";"0";"0";"0"
"2";METRO;"100073";EST2024;S;05:55;01:04;"66";"11";"6";"1"
"2";METRO;"100095";EST2024;S;06:16;07:14;"1";"0";"0";"0"
"2";METRO;"100058";EST2024;F;05:51;12:24;"3";"0";"0";"0"
"1";METRO;"100034";EST2024;S;00:13;00:52;"1";"0";"0";"0"
"2";METRO;"100074";EST2024;L;06:07;00:09;"9";"0";"0";"3"
"1";METRO;"100013";EST2024;S;05:40;06:20;"1";"0";"0";"0"
"2";METRO;"100047";EST2024;S;05:46;21:13;"7";"0";"0";"0"
"2";METRO;"100050";EST2024;S;20:34;00:31;"2";"0";"0";"1"
"3";METRO;"100082";EST2024;L;05:40;00:53;"236";"36";"24";"13"
"1";METRO;"100013";EST2024;L;05:40;06:20;"1";"0";"0";"0"
"2";METRO;"100048";EST2024;L;05:40;01:30;"108";"21";"9";"0"
"5";METRO;"100084";EST2024;F;06:00;00:28;"252";"30";"30";"20"
"1";METRO;"100034";EST2024;L;00:13;00:52;"1";"0";"0";"0"
"4";METRO;"100152";EST2024;S;06:00;00:52;"316";"40";"40";"20"
"1";METRO;"100002";EST2024;F;06:20;00:47;"90";"9";"10";"8"
"2";METRO;"100059";EST2024;F;06:05;01:13;"47";"4";"4";"5"
"2";METRO;"100066";EST2024;L;06:28;00:19;"7";"0";"1";"2"
"1";METRO;"100035";EST2024;L;05:46;00:36;"164";"25";"16";"8"
"2";METRO;"100070";EST2024;F;06:21;06:27;"1";"0";"0";"0"
"2";METRO;"100077";EST2024;S;06:30;07:23;"1";"0";"0";"0"
"1";METRO;"100030";EST2024;S;05:50;00:54;"131";"16";"16";"8"
"2";METRO;"100058";EST2024;L;05:47;17:12;"15";"4";"0";"0"
"2";METRO;"100067";EST2024;S;05:50;00:54;"64";"11";"5";"2"
"5";METRO;"100084";EST2024;L;05:40;00:28;"283";"36";"30";"21"
"2";METRO;"100052";EST2024;L;05:50;01:05;"112";"22";"9";"4"
"2";METRO;"100045";EST2024;S;09:41;00:16;"51";"0";"12";"7"
"2";METRO;"100059";EST2024;S;05:45;01:13;"49";"0";"8";"5"
"2";METRO;"100066";EST2024;S;06:32;00:19;"13";"1";"2";"2"
"2";METRO;"100048";EST2024;F;06:00;01:30;"18";"2";"4";"0"
"2";METRO;"100059";EST2024;L;05:45;01:13;"44";"0";"8";"5"
"2";METRO;"100060";EST2024;S;10:25;00:31;"6";"0";"1";"3"
"4";METRO;"100152";EST2024;F;06:00;00:52;"286";"30";"30";"20"
"2";METRO;"100073";EST2024;L;05:55;01:04;"105";"21";"10";"1"
"1";METRO;"100042";EST2024;L;06:29;17:43;"4";"0";"0";"0"
"2";METRO;"100053";EST2024;F;06:58;00:30;"29";"1";"0";"4"
"1";METRO;"100038";EST2024;L;06:00;17:28;"17";"5";"0";"0"
"4";METRO;"100152";EST2024;L;06:00;00:52;"336";"40";"40";"20"
"1";METRO;"100002";EST2024;L;05:50;00:47;"165";"26";"16";"8"
"1";METRO;"100002";EST2024;S;05:50;00:47;"132";"16";"16";"8"
"1";METRO;"100038";EST2024;F;06:33;12:18;"3";"0";"0";"0"
"2";METRO;"100047";EST2024;F;07:11;20:59;"25";"1";"0";"0"
"3";METRO;"100081";EST2024;F;06:00;00:50;"158";"15";"15";"13"
"2";METRO;"100073";EST2024;F;06:00;01:04;"38";"4";"4";"1"
"2";METRO;"100058";EST2024;S;05:47;16:58;"6";"0";"0";"0"
"2";METRO;"100053";EST2024;L;09:19;00:30;"10";"0";"1";"4"
"2";METRO;"100060";EST2024;F;08:23;00:31;"13";"2";"4";"3"
"1";METRO;"100034";EST2024;F;00:13;00:52;"1";"0";"0";"0"
"2";METRO;"100074";EST2024;S;06:21;00:09;"10";"1";"0";"3"
"2";METRO;"100077";EST2024;L;06:08;17:32;"3";"0";"0";"0"
"2";METRO;"100052";EST2024;S;05:50;01:04;"72";"12";"6";"4"
"3";METRO;"100082";EST2024;F;06:00;00:53;"158";"15";"15";"13"
