"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Italia";"Duomo (1)";14123
"Italia";"Brera (2)";15269
"Italia";"Giardini P.ta Venezia (3)";34
"Italia";"Guastalla (4)";13595
"Italia";"Porta Vigentina - Porta Lodovica (5)";12109
"Italia";"Porta Ticinese - Conca del Naviglio (6)";17346
"Italia";"Magenta - S.Vittore (7)";15699
"Italia";"Porta Garibaldi - Porta Nuova (9)";4882
"Italia";"Stazione Centrale - Ponte Seveso (10)";13775
"Italia";"Isola (11)";18187
"Italia";"Maciachini - Maggiolina (12)";20784
"Italia";"Greco - Segnano (13)";12643
"Italia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";30243
"Italia";"Bicocca (15)";7297
"Italia";"Gorla - Precotto (16)";23148
"Italia";"Adriano (17)";13694
"Italia";"Cimiano - Rottole - Q.re Feltre (18)";16341
"Italia";"Padova - Turro - Crescenzago (19)";24955
"Italia";"Loreto - Casoretto - NoLo (20)";29773
"Italia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";54257
"Italia";"Citta' studi (22)";30710
"Italia";"Lambrate - Ortica (23)";10507
"Italia";"Parco Forlanini - Cavriano (24)";808
"Italia";"Corsica (25)";16987
"Italia";"XXII Marzo (26)";28266
"Italia";"Pta Romana (27)";14588
"Italia";"Umbria - Molise - Calvairate (28)";18588
"Italia";"Ortomercato (29)";2558
"Italia";"Taliedo - Morsenchio - Q.re Forlanini (30)";15931
"Italia";"Monlue' - Ponte Lambro (31)";3038
"Italia";"Triulzo Superiore (32)";584
"Italia";"Rogoredo - Santa Giulia (33)";9486
"Italia";"Chiaravalle (34)";897
"Italia";"Lodi - Corvetto (35)";26704
"Italia";"Scalo Romana (36)";8309
"Italia";"Morivione (37)";6534
"Italia";"Vigentino - Q.re Fatima (38)";13886
"Italia";"Quintosole (39)";744
"Italia";"Ronchetto delle Rane (40)";622
"Italia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";15223
"Italia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";23628
"Italia";"Tibaldi (43)";9585
"Italia";"Porta Ticinese - Conchetta (44)";14511
"Italia";"Moncucco - San Cristoforo (45)";11074
"Italia";"Barona (46)";13492
"Italia";"Cantalupa (47)";462
"Italia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";12617
"Italia";"Giambellino (49)";23035
"Italia";"Porta Genova (50)";13891
"Italia";"Porta Magenta (51)";24308
"Italia";"Bande Nere (52)";36876
"Italia";"Lorenteggio (53)";12728
"Italia";"Muggiano (54)";2855
"Italia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";23410
"Italia";"Forze Armate (56)";19637
"Italia";"San Siro (57)";16723
"Italia";"De Angeli - Monte Rosa (58)";18965
"Italia";"Tre Torri (59)";2048
"Italia";"Stadio - Ippodromi (60)";10701
"Italia";"Quarto Cagnino (61)";8659
"Italia";"Quinto Romano (62)";4018
"Italia";"Figino (63)";1917
"Italia";"Trenno (64)";3617
"Italia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";27744
"Italia";"QT 8 (66)";3545
"Italia";"Portello (67)";7985
"Italia";"Pagano (68)";15948
"Italia";"Sarpi (69)";25478
"Italia";"Ghisolfa (70)";15492
"Italia";"Villapizzone - Cagnola - Boldinasco (71)";28423
"Italia";"Maggiore - Musocco - Certosa (72)";7904
"Italia";"Cascina Merlata (73)";593
"Italia";"Roserio (74)";172
"Italia";"Stephenson (75)";118
"Italia";"Quarto Oggiaro - Vialba - Musocco (76)";21824
"Italia";"Bovisa (77)";9307
"Italia";"Farini (78)";2585
"Italia";"Dergano (79)";15849
"Italia";"Affori (80)";18370
"Italia";"Bovisasca (81)";6121
"Italia";"Comasina (82)";5782
"Italia";"Bruzzano (83)";10050
"Italia";"Parco Nord (84)";72
"Italia";"Parco delle Abbazie (85)";220
"Italia";"Parco dei Navigli (86)";279
"Italia";"Assiano (87)";199
"Italia";"Parco Bosco in citta' (88)";507
"Albania";"Duomo (1)";19
"Albania";"Brera (2)";36
"Albania";"Guastalla (4)";11
"Albania";"Porta Vigentina - Porta Lodovica (5)";19
"Albania";"Porta Ticinese - Conca del Naviglio (6)";34
"Albania";"Magenta - S.Vittore (7)";24
"Albania";"Porta Garibaldi - Porta Nuova (9)";11
"Albania";"Stazione Centrale - Ponte Seveso (10)";50
"Albania";"Isola (11)";63
"Albania";"Maciachini - Maggiolina (12)";57
"Albania";"Greco - Segnano (13)";29
"Albania";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";134
"Albania";"Bicocca (15)";30
"Albania";"Gorla - Precotto (16)";128
"Albania";"Adriano (17)";88
"Albania";"Cimiano - Rottole - Q.re Feltre (18)";77
"Albania";"Padova - Turro - Crescenzago (19)";194
"Albania";"Loreto - Casoretto - NoLo (20)";207
"Albania";"Buenos Aires - Porta Venezia - Porta Monforte (21)";126
"Albania";"Citta' studi (22)";121
"Albania";"Lambrate - Ortica (23)";43
"Albania";"Parco Forlanini - Cavriano (24)";11
"Albania";"Corsica (25)";55
"Albania";"XXII Marzo (26)";57
"Albania";"Pta Romana (27)";40
"Albania";"Umbria - Molise - Calvairate (28)";105
"Albania";"Ortomercato (29)";14
"Albania";"Taliedo - Morsenchio - Q.re Forlanini (30)";81
"Albania";"Monlue' - Ponte Lambro (31)";33
"Albania";"Triulzo Superiore (32)";31
"Albania";"Rogoredo - Santa Giulia (33)";35
"Albania";"Chiaravalle (34)";3
"Albania";"Lodi - Corvetto (35)";211
"Albania";"Scalo Romana (36)";55
"Albania";"Morivione (37)";31
"Albania";"Vigentino - Q.re Fatima (38)";74
"Albania";"Quintosole (39)";18
"Albania";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";94
"Albania";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";112
"Albania";"Tibaldi (43)";31
"Albania";"Porta Ticinese - Conchetta (44)";45
"Albania";"Moncucco - San Cristoforo (45)";103
"Albania";"Barona (46)";72
"Albania";"Cantalupa (47)";3
"Albania";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";45
"Albania";"Giambellino (49)";119
"Albania";"Porta Genova (50)";17
"Albania";"Porta Magenta (51)";41
"Albania";"Bande Nere (52)";95
"Albania";"Lorenteggio (53)";32
"Albania";"Muggiano (54)";8
"Albania";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";104
"Albania";"Forze Armate (56)";115
"Albania";"San Siro (57)";110
"Albania";"De Angeli - Monte Rosa (58)";53
"Albania";"Stadio - Ippodromi (60)";23
"Albania";"Quarto Cagnino (61)";9
"Albania";"Quinto Romano (62)";8
"Albania";"Figino (63)";16
"Albania";"Trenno (64)";8
"Albania";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";114
"Albania";"QT 8 (66)";8
"Albania";"Portello (67)";24
"Albania";"Pagano (68)";10
"Albania";"Sarpi (69)";60
"Albania";"Ghisolfa (70)";51
"Albania";"Villapizzone - Cagnola - Boldinasco (71)";176
"Albania";"Maggiore - Musocco - Certosa (72)";34
"Albania";"Cascina Merlata (73)";62
"Albania";"Stephenson (75)";3
"Albania";"Quarto Oggiaro - Vialba - Musocco (76)";185
"Albania";"Bovisa (77)";132
"Albania";"Farini (78)";17
"Albania";"Dergano (79)";85
"Albania";"Affori (80)";178
"Albania";"Bovisasca (81)";40
"Albania";"Comasina (82)";43
"Albania";"Bruzzano (83)";100
"Albania";"Parco Nord (84)";1
"Albania";"Parco delle Abbazie (85)";10
"Albania";"Parco dei Navigli (86)";9
"Albania";"Assiano (87)";1
"Austria";"Duomo (1)";12
"Austria";"Brera (2)";26
"Austria";"Guastalla (4)";7
"Austria";"Porta Vigentina - Porta Lodovica (5)";10
"Austria";"Porta Ticinese - Conca del Naviglio (6)";5
"Austria";"Magenta - S.Vittore (7)";7
"Austria";"Porta Garibaldi - Porta Nuova (9)";4
"Austria";"Stazione Centrale - Ponte Seveso (10)";9
"Austria";"Isola (11)";8
"Austria";"Maciachini - Maggiolina (12)";9
"Austria";"Greco - Segnano (13)";1
"Austria";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";5
