"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"n.d.";"2004";5
"n.d.";"2005";5
"n.d.";"2006";4
"n.d.";"2007";8
"n.d.";"2008";7
"n.d.";"2009";10
"n.d.";"2010";3
"n.d.";"2011";58
"n.d.";"2012";99
"Duomo (1)";"2003";208
"Duomo (1)";"2004";208
"Duomo (1)";"2005";169
"Duomo (1)";"2006";194
"Duomo (1)";"2007";179
"Duomo (1)";"2008";167
"Duomo (1)";"2009";170
"Duomo (1)";"2010";165
"Duomo (1)";"2011";140
"Duomo (1)";"2012";155
"Duomo (1)";"2013";136
"Duomo (1)";"2014";140
"Duomo (1)";"2015";157
"Duomo (1)";"2016";128
"Duomo (1)";"2017";131
"Duomo (1)";"2018";106
"Duomo (1)";"2019";125
"Duomo (1)";"2020";109
"Duomo (1)";"2021";113
"Duomo (1)";"2022";111
"Duomo (1)";"2023";127
"Brera (2)";"2003";187
"Brera (2)";"2004";186
"Brera (2)";"2005";175
"Brera (2)";"2006";186
"Brera (2)";"2007";179
"Brera (2)";"2008";166
"Brera (2)";"2009";172
"Brera (2)";"2010";146
"Brera (2)";"2011";152
"Brera (2)";"2012";160
"Brera (2)";"2013";140
"Brera (2)";"2014";155
"Brera (2)";"2015";143
"Brera (2)";"2016";116
"Brera (2)";"2017";152
"Brera (2)";"2018";145
"Brera (2)";"2019";117
"Brera (2)";"2020";133
"Brera (2)";"2021";122
"Brera (2)";"2022";110
"Brera (2)";"2023";130
"Giardini P.ta Venezia (3)";"2003";1
"Giardini P.ta Venezia (3)";"2012";1
"Giardini P.ta Venezia (3)";"2013";1
"Giardini P.ta Venezia (3)";"2014";2
"Giardini P.ta Venezia (3)";"2015";1
"Guastalla (4)";"2003";157
"Guastalla (4)";"2004";141
"Guastalla (4)";"2005";163
"Guastalla (4)";"2006";163
"Guastalla (4)";"2007";138
"Guastalla (4)";"2008";147
"Guastalla (4)";"2009";135
"Guastalla (4)";"2010";141
"Guastalla (4)";"2011";121
"Guastalla (4)";"2012";111
"Guastalla (4)";"2013";109
"Guastalla (4)";"2014";109
"Guastalla (4)";"2015";122
"Guastalla (4)";"2016";133
"Guastalla (4)";"2017";84
"Guastalla (4)";"2018";113
"Guastalla (4)";"2019";108
"Guastalla (4)";"2020";89
"Guastalla (4)";"2021";116
"Guastalla (4)";"2022";99
"Guastalla (4)";"2023";97
"Porta Vigentina - Porta Lodovica (5)";"2003";125
"Porta Vigentina - Porta Lodovica (5)";"2004";156
"Porta Vigentina - Porta Lodovica (5)";"2005";144
"Porta Vigentina - Porta Lodovica (5)";"2006";122
"Porta Vigentina - Porta Lodovica (5)";"2007";119
"Porta Vigentina - Porta Lodovica (5)";"2008";125
"Porta Vigentina - Porta Lodovica (5)";"2009";133
"Porta Vigentina - Porta Lodovica (5)";"2010";117
"Porta Vigentina - Porta Lodovica (5)";"2011";93
"Porta Vigentina - Porta Lodovica (5)";"2012";103
"Porta Vigentina - Porta Lodovica (5)";"2013";104
"Porta Vigentina - Porta Lodovica (5)";"2014";91
"Porta Vigentina - Porta Lodovica (5)";"2015";94
"Porta Vigentina - Porta Lodovica (5)";"2016";97
"Porta Vigentina - Porta Lodovica (5)";"2017";74
"Porta Vigentina - Porta Lodovica (5)";"2018";88
"Porta Vigentina - Porta Lodovica (5)";"2019";96
"Porta Vigentina - Porta Lodovica (5)";"2020";84
"Porta Vigentina - Porta Lodovica (5)";"2021";92
"Porta Vigentina - Porta Lodovica (5)";"2022";89
"Porta Vigentina - Porta Lodovica (5)";"2023";75
"Porta Ticinese - Conca del Naviglio (6)";"2003";249
"Porta Ticinese - Conca del Naviglio (6)";"2004";211
"Porta Ticinese - Conca del Naviglio (6)";"2005";213
"Porta Ticinese - Conca del Naviglio (6)";"2006";213
"Porta Ticinese - Conca del Naviglio (6)";"2007";208
"Porta Ticinese - Conca del Naviglio (6)";"2008";210
"Porta Ticinese - Conca del Naviglio (6)";"2009";204
"Porta Ticinese - Conca del Naviglio (6)";"2010";203
"Porta Ticinese - Conca del Naviglio (6)";"2011";144
"Porta Ticinese - Conca del Naviglio (6)";"2012";158
"Porta Ticinese - Conca del Naviglio (6)";"2013";168
"Porta Ticinese - Conca del Naviglio (6)";"2014";162
"Porta Ticinese - Conca del Naviglio (6)";"2015";177
"Porta Ticinese - Conca del Naviglio (6)";"2016";171
"Porta Ticinese - Conca del Naviglio (6)";"2017";164
"Porta Ticinese - Conca del Naviglio (6)";"2018";136
"Porta Ticinese - Conca del Naviglio (6)";"2019";146
"Porta Ticinese - Conca del Naviglio (6)";"2020";126
"Porta Ticinese - Conca del Naviglio (6)";"2021";140
"Porta Ticinese - Conca del Naviglio (6)";"2022";119
"Porta Ticinese - Conca del Naviglio (6)";"2023";136
"Magenta - S.Vittore (7)";"2003";203
"Magenta - S.Vittore (7)";"2004";182
"Magenta - S.Vittore (7)";"2005";187
"Magenta - S.Vittore (7)";"2006";187
"Magenta - S.Vittore (7)";"2007";202
"Magenta - S.Vittore (7)";"2008";194
"Magenta - S.Vittore (7)";"2009";132
"Magenta - S.Vittore (7)";"2010";152
"Magenta - S.Vittore (7)";"2011";144
"Magenta - S.Vittore (7)";"2012";134
"Magenta - S.Vittore (7)";"2013";146
"Magenta - S.Vittore (7)";"2014";139
"Magenta - S.Vittore (7)";"2015";146
"Magenta - S.Vittore (7)";"2016";127
"Magenta - S.Vittore (7)";"2017";128
"Magenta - S.Vittore (7)";"2018";119
"Magenta - S.Vittore (7)";"2019";110
"Magenta - S.Vittore (7)";"2020";140
"Magenta - S.Vittore (7)";"2021";119
"Magenta - S.Vittore (7)";"2022";99
"Magenta - S.Vittore (7)";"2023";108
"Porta Garibaldi - Porta Nuova (9)";"2003";44
"Porta Garibaldi - Porta Nuova (9)";"2004";56
"Porta Garibaldi - Porta Nuova (9)";"2005";51
"Porta Garibaldi - Porta Nuova (9)";"2006";59
"Porta Garibaldi - Porta Nuova (9)";"2007";52
"Porta Garibaldi - Porta Nuova (9)";"2008";44
"Porta Garibaldi - Porta Nuova (9)";"2009";58
"Porta Garibaldi - Porta Nuova (9)";"2010";42
"Porta Garibaldi - Porta Nuova (9)";"2011";43
"Porta Garibaldi - Porta Nuova (9)";"2012";38
"Porta Garibaldi - Porta Nuova (9)";"2013";53
"Porta Garibaldi - Porta Nuova (9)";"2014";57
"Porta Garibaldi - Porta Nuova (9)";"2015";53
"Porta Garibaldi - Porta Nuova (9)";"2016";49
"Porta Garibaldi - Porta Nuova (9)";"2017";34
