ID;AREA_SOSTA;LOCALIZ;ZONA;COMUNE;POSTI_AUTO;SERVIZIO;LONG_X_4326;LAT_Y_4326;Location
"1001";Loreto/Mercadante;Via Mercadante davanti uscita M1 Argentina;"3";MILANO;"8";QUADRICICLI;9.214544;45.4833510000071;"(45.4833510000071, 9.214544)"
"1002";Pta Venezia;P.zza Oberdan uscita M1 ex casello (fronte Bastioni di Pta Venezia 1);"1";MILANO;"8";QUADRICICLI;9.204847;45.4739290000071;"(45.4739290000071, 9.204847)"
"1003";Pagano;Via del Burchiello fronte parcheggio;"7";MILANO;"6";QUADRICICLI;9.160451;45.4678450000071;"(45.4678450000071, 9.160451)"
"1004";Cadorna;P.le Cadorna fronte civico 1/3;"1";MILANO;"8";QUADRICICLI;9.177717;45.4669240000071;"(45.4669240000071, 9.177717)"
"1005";Centrale Stazione;P.zza Duca d'Aosta davanti civico 16;"2";MILANO;"8";QUADRICICLI;9.205185;45.4838640000071;"(45.4838640000071, 9.205185)"
"1006";P.ta Vittoria/Largo Marinai d'Italia;Largo Marinai d'Italia angolo Via Cadore/Via Anfossi;"4";MILANO;"8";QUADRICICLI;9.214746;45.4585070000071;"(45.4585070000071, 9.214746)"
"1007";Bisceglie;Via Lucca uscita M1 fronte civico 14;"6";MILANO;"8";QUADRICICLI;9.112914;45.4548910000071;"(45.4548910000071, 9.112914)"
"1008";Amendola Fiera;Amendola M1;"7";MILANO;"8";QUADRICICLI;9.1519;45.4730200000071;"(45.4730200000071, 9.1519)"
"1009";Cusani/Rovello;Via Cusani davantio civico 8;"1";MILANO;"8";QUADRICICLI;9.184689;45.4681240000071;"(45.4681240000071, 9.184689)"
"1010";Bocconi;Via Bocconi fronte civico 24;"5";MILANO;"8";QUADRICICLI;9.190981;45.4477110000071;"(45.4477110000071, 9.190981)"
"1011";V Giornate;P.zza V Giornate fronte civico 3;"1";MILANO;"8";QUADRICICLI;9.2074;45.4619530000071;"(45.4619530000071, 9.2074)"
"1012";Gioia M2;Via G. B. Pirelli davanti civico 35;"9";MILANO;"8";QUADRICICLI;9.196503;45.4832900000071;"(45.4832900000071, 9.196503)"
"1013";Corso Como/Piazza XXV Aprile;Piazza XXV Aprile civ 5 ang. Via Pasubio;"1";MILANO;"8";QUADRICICLI;9.186612;45.4803150000071;"(45.4803150000071, 9.186612)"
"1014";San Paolo/Hoepli;Via Hoepli civico 10;"1";MILANO;"8";QUADRICICLI;9.193233;45.4658730000071;"(45.4658730000071, 9.193233)"
"1015";Sant'Agostino;Sant'Agostino;"1";MILANO;"6";QUADRICICLI;9.17027;45.4575870000071;"(45.4575870000071, 9.17027)"
"1016";Bovisa FNM-FS;Pzza Alfieri;"9";MILANO;"8";QUADRICICLI;9.161303;45.5025950000071;"(45.5025950000071, 9.161303)"
"1017";Certosa FS;Via Fattori;"8";MILANO;"8";QUADRICICLI;9.135387;45.5063990000072;"(45.5063990000072, 9.135387)"
"1018";Lambrate;Via Pacini;"3";MILANO;"8";QUADRICICLI;9.235101;45.4835280000071;"(45.4835280000071, 9.235101)"
"1019";Precotto;Vle Monza;"2";MILANO;"8";QUADRICICLI;9.224251;45.5085460000072;"(45.5085460000072, 9.224251)"
"1020";Ospedale Niguarda;Pzza Ospedale Maggiore;"9";MILANO;"8";QUADRICICLI;9.190798;45.5079400000072;"(45.5079400000072, 9.190798)"
"1021";Città Studi;Via Bonardi/Pzza Leonardo da Vinci;"3";MILANO;"8";QUADRICICLI;9.226623;45.4785160000071;"(45.4785160000071, 9.226623)"
"1022";Bande Nere;Ple Bande Nere;"6";MILANO;"8";QUADRICICLI;9.136494;45.4607910000071;"(45.4607910000071, 9.136494)"
"1023";Via Larga;Via Larga/Pzza Santo Stefano;"1";MILANO;"8";QUADRICICLI;9.194004;45.4615370000071;"(45.4615370000071, 9.194004)"
"1024";P.ta Romana;Cso Porta Romana/Ple Medaglie d'Oro;"5";MILANO;"8";QUADRICICLI;9.203696;45.4509560000071;"(45.4509560000071, 9.203696)"
"1025";P.zza Segrino;Via Thaon di Revel/Pzza Segrino;"9";MILANO;"8";QUADRICICLI;9.189463;45.4901000000071;"(45.4901000000071, 9.189463)"
"1026";Maciachini/Imbonati;Via Imbonati/Via S Genesio;"9";MILANO;"8";QUADRICICLI;9.183521;45.4998470000071;"(45.4998470000071, 9.183521)"
"1027";Famagosta;Vle Famagosta M2;"6";MILANO;"8";QUADRICICLI;9.169485;45.4366130000071;"(45.4366130000071, 9.169485)"
"1028";Cso Buenos Aires;Cso Buenos Aires/Via Boscovich;"3";MILANO;"8";QUADRICICLI;9.210017;45.4787080000071;"(45.4787080000071, 9.210017)"
