"NIL (Nuclei di Identità Locale)";"Titolo di godimento dell'abitazione";"Abitazioni"
"Duomo (1)";"Proprietà";4024,23818004131
"Duomo (1)";"Affitto";2147,66294711828
"Duomo (1)";"Altro titolo";1242,09888976812
"Brera (2)";"Proprietà";4504,99442839623
"Brera (2)";"Affitto";2493,81419122219
"Brera (2)";"Altro titolo";1258,19142723084
"Giardini P.ta Venezia (3)";"Affitto";14,9914269447327
"Giardini P.ta Venezia (3)";"Altro titolo";7,92658996582031
"Guastalla (4)";"Proprietà";4083,65345144272
"Guastalla (4)";"Affitto";1517,45604985952
"Guastalla (4)";"Altro titolo";1191,30818039179
"Porta Vigentina - Porta Lodovica (5)";"Proprietà";3973,10447233915
"Porta Vigentina - Porta Lodovica (5)";"Affitto";1311,50937283039
"Porta Vigentina - Porta Lodovica (5)";"Altro titolo";678,691577196121
"Porta Ticinese - Conca del Naviglio (6)";"Proprietà";6423,51818138361
"Porta Ticinese - Conca del Naviglio (6)";"Affitto";2711,29573595524
"Porta Ticinese - Conca del Naviglio (6)";"Altro titolo";853,186080038548
"Magenta - S.Vittore (7)";"Proprietà";4533,17885279655
"Magenta - S.Vittore (7)";"Affitto";2114,79192829132
"Magenta - S.Vittore (7)";"Altro titolo";1069,02924126387
"Porta Garibaldi - Porta Nuova (9)";"Proprietà";1704,10001683235
"Porta Garibaldi - Porta Nuova (9)";"Affitto";659,434938728809
"Porta Garibaldi - Porta Nuova (9)";"Altro titolo";197,594071805477
"Stazione Centrale - Ponte Seveso (10)";"Proprietà";4824,25148022175
"Stazione Centrale - Ponte Seveso (10)";"Affitto";2121,86741501093
"Stazione Centrale - Ponte Seveso (10)";"Altro titolo";764,88107329607
"Isola (11)";"Proprietà";6523,46604669094
"Isola (11)";"Affitto";3038,99308127165
"Isola (11)";"Altro titolo";787,540867328644
"Maciachini - Maggiolina (12)";"Proprietà";8308,51885169744
"Maciachini - Maggiolina (12)";"Affitto";2741,0387147665
"Maciachini - Maggiolina (12)";"Altro titolo";830,442420482636
"Greco - Segnano (13)";"Proprietà";4911,42797166109
"Greco - Segnano (13)";"Affitto";1256,90815198421
"Greco - Segnano (13)";"Altro titolo";454,258621156216
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Proprietà";10105,4787967503
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Affitto";5856,32553493977
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Altro titolo";693,195639371872
"Bicocca (15)";"Proprietà";2104,52840715647
"Bicocca (15)";"Affitto";693,253785192966
"Bicocca (15)";"Altro titolo";101,841068744659
"Gorla - Precotto (16)";"Proprietà";8647,28680080175
"Gorla - Precotto (16)";"Affitto";2758,59544062614
"Gorla - Precotto (16)";"Altro titolo";715,117736756802
"Adriano (17)";"Proprietà";4417,25616943836
"Adriano (17)";"Affitto";851,362349152565
"Adriano (17)";"Altro titolo";271,01703619957
"Cimiano - Rottole - Q.re Feltre (18)";"Proprietà";6585,66140007973
"Cimiano - Rottole - Q.re Feltre (18)";"Affitto";2159,38410747051
"Cimiano - Rottole - Q.re Feltre (18)";"Altro titolo";500,954480230808
"Padova - Turro - Crescenzago (19)";"Proprietà";10341,5481515527
"Padova - Turro - Crescenzago (19)";"Affitto";4440,94903856516
"Padova - Turro - Crescenzago (19)";"Altro titolo";1039,50290071964
"Loreto - Casoretto - NoLo (20)";"Proprietà";11921,9185397625
"Loreto - Casoretto - NoLo (20)";"Affitto";5964,73410540819
"Loreto - Casoretto - NoLo (20)";"Altro titolo";1410,34735172987
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Proprietà";19277,3168696165
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Affitto";6854,04929488897
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Altro titolo";2633,63390874863
"Citta' studi (22)";"Proprietà";11808,4757941365
"Citta' studi (22)";"Affitto";4721,32612484694
"Citta' studi (22)";"Altro titolo";1353,19803726673
"Lambrate - Ortica (23)";"Proprietà";3193,57723301649
"Lambrate - Ortica (23)";"Affitto";1016,03231906891
"Lambrate - Ortica (23)";"Altro titolo";220,212012887001
"Parco Forlanini - Cavriano (24)";"Proprietà";223,800540626049
"Parco Forlanini - Cavriano (24)";"Affitto";118,381518661976
"Parco Forlanini - Cavriano (24)";"Altro titolo";33,692036151886
"Corsica (25)";"Proprietà";6563,52698528767
"Corsica (25)";"Affitto";1882,11313033104
"Corsica (25)";"Altro titolo";714,359831929207
"XXII Marzo (26)";"Proprietà";9035,42886459827
"XXII Marzo (26)";"Affitto";4508,64619892836
"XXII Marzo (26)";"Altro titolo";1161,92495787144
"Pta Romana (27)";"Proprietà";5479,42020183802
"Pta Romana (27)";"Affitto";2040,01648628712
"Pta Romana (27)";"Altro titolo";639,563266217709
"Umbria - Molise - Calvairate (28)";"Proprietà";6244,86079490185
"Umbria - Molise - Calvairate (28)";"Affitto";3942,17769491673
"Umbria - Molise - Calvairate (28)";"Altro titolo";650,961481690407
"Ortomercato (29)";"Proprietà";1077,11493259668
"Ortomercato (29)";"Affitto";638,447703063488
