linea;mezzo;percorso;orario;tipo_giorno;inizio;fine;corse_gior;corse_punt;corse_morb;corse_sera
"87";BUS;"8758";EST2024;L;06:00;00:56;"70";"6";"9";"6"
"31";TRAM;"6777";EST2024;L;23:43;01:54;"5";"0";"0";"1"
"52";BUS;"12893";EST2024;S;06:00;22:27;"68";"10";"8";"1"
"154";BUS;"13871";EST2024;S;01:00;05:57;"10";"0";"0";"0"
"67";BUS;"4540";EST2024;S;05:54;00:24;"92";"13";"10";"7"
"728";BUS;"7608";EST2024;S;06:25;01:42;"47";"6";"5";"4"
"175";BUS;"11678";EST2024;F;09:10;12:48;"4";"0";"3";"0"
"176";BUS;"2983";EST2024;L;08:07;17:57;"40";"4";"8";"0"
"55";BUS;"475";EST2024;F;06:30;18:58;"62";"9";"10";"0"
"926";BUS;"10150";EST2024;L;06:20;20:52;"13";"3";"0";"0"
"46";BUS;"11405";EST2024;F;06:15;21:23;"34";"4";"4";"0"
"201";BUS;"12174";EST2024;L;06:05;20:39;"45";"8";"4";"0"
"925";BUS;"10146";EST2024;S;06:15;01:03;"15";"0";"0";"4"
"542";BUS;"7383";EST2024;F;07:52;20:00;"25";"3";"4";"0"
"121";BUS;"13988";EST2024;S;06:05;14:08;"8";"4";"0";"0"
"222";BUS;"11656";EST2024;L;06:31;22:36;"74";"12";"8";"1"
"84";BUS;"10124";EST2024;L;05:15;01:01;"104";"17";"13";"6"
"56";BUS;"3465";EST2024;S;06:30;01:54;"60";"8";"6";"5"
"78";BUS;"10491";EST2024;F;06:00;22:27;"48";"6";"6";"0"
"2";TRAM;"9829";EST2024;S;06:05;01:56;"92";"11";"10";"8"
"80";BUS;"9309";EST2024;S;05:20;01:47;"68";"8";"7";"6"
"83";BUS;"6740";EST2024;S;06:00;21:47;"61";"8";"8";"0"
"70";BUS;"10095";EST2024;F;07:54;18:44;"38";"5";"7";"0"
"49";BUS;"8093";EST2024;S;06:00;01:21;"100";"14";"11";"7"
"45";BUS;"13457";EST2024;L;06:00;22:10;"72";"12";"8";"0"
"56";BUS;"480";EST2024;F;05:26;01:44;"59";"6";"5";"4"
"222";BUS;"11656";EST2024;S;06:31;22:36;"55";"10";"6";"1"
"327";BUS;"12311";EST2024;L;06:30;20:06;"19";"6";"0";"0"
"3";TRAM;"3275";EST2024;S;06:00;01:33;"102";"12";"11";"8"
"43";BUS;"4705";EST2024;L;06:08;01:25;"94";"14";"9";"7"
"89";BUS;"13956";EST2024;S;06:20;20:16;"30";"5";"2";"0"
"121";BUS;"13987";EST2024;S;05:05;22:31;"43";"4";"4";"1"
"353";BUS;"8838";EST2024;F;06:35;00:22;"38";"3";"3";"3"
"12";TRAM;"4282";EST2024;F;06:10;02:11;"70";"6";"6";"6"
"528";BUS;"9319";EST2024;F;06:28;22:16;"48";"6";"6";"1"
"566";BUS;"7657";EST2024;S;07:10;19:50;"13";"3";"2";"0"
"566";BUS;"12395";EST2024;S;06:25;18:45;"12";"2";"1";"0"
"78";BUS;"10491";EST2024;L;06:00;22:27;"73";"12";"9";"0"
"68";BUS;"3001";EST2024;F;06:10;22:15;"48";"7";"5";"0"
"90";FILOBUS;"4086";EST2024;L;00:55;01:02;"205";"37";"17";"9"
"166";BUS;"6145";EST2024;L;05:50;20:48;"36";"5";"4";"0"
"727";BUS;"12198";EST2024;F;05:40;22:11;"27";"3";"3";"0"
"728";BUS;"6252";EST2024;F;05:30;06:37;"2";"0";"0";"0"
"423";BUS;"8231";EST2024;L;13:05;19:09;"7";"0";"0";"0"
"15";TRAM;"9904";EST2024;S;02:33;03:08;"15";"0";"0";"1"
"82";BUS;"9212";EST2024;L;06:00;01:03;"82";"11";"8";"6"
"713";BUS;"7616";EST2024;F;06:00;00:27;"37";"4";"4";"4"
"24";TRAM;"11683";EST2024;S;05:53;02:01;"108";"12";"12";"8"
"95";BUS;"12491";EST2024;L;05:09;01:42;"120";"15";"13";"8"
"705";BUS;"13373";EST2024;L;07:05;14:47;"11";"4";"0";"0"
"701";BUS;"13661";EST2024;S;06:22;00:32;"43";"6";"4";"4"
"27";TRAM;"11716";EST2024;S;05:56;02:09;"101";"12";"11";"8"
"44";BUS;"6496";EST2024;S;06:14;21:37;"67";"9";"8";"0"
"45";BUS;"13914";EST2024;L;05:12;22:12;"19";"8";"0";"1"
"707";BUS;"13721";EST2024;S;06:10;21:42;"31";"4";"4";"0"
"729";BUS;"10109";EST2024;S;05:20;00:42;"57";"6";"6";"6"
"34";BUS;"12112";EST2024;F;06:19;21:54;"40";"5";"5";"0"
"40";BUS;"12969";EST2024;L;07:01;19:53;"31";"12";"0";"0"
"56";BUS;"3465";EST2024;F;06:31;01:54;"56";"6";"5";"5"
"321";BUS;"12293";EST2024;L;05:47;01:24;"39";"7";"4";"1"
"566";BUS;"12842";EST2024;S;06:45;19:34;"13";"2";"1";"0"
"2";TRAM;"9829";EST2024;F;06:10;01:55;"70";"8";"7";"6"
