linea;mezzo;percorso;verso;nome;tipo_perc;lung_km;num_ferm;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"1";TRAM;"10735";As;Greco - Certosa F.S.;Barrato;"12.29";"43";9.17562355733899;45.4824387034764;"(45.4824387034764, 9.17562355733899)"
"1";TRAM;"10737";Di;Certosa F.S. - Greco;Barrato;"12.16";"43";9.17584394397949;45.4821425724802;"(45.4821425724802, 9.17584394397949)"
"1";TRAM;"12560";Di;Roserio - Greco;Canonico;"13.82";"48";9.16974100864054;45.4859750999686;"(45.4859750999686, 9.16974100864054)"
"1";TRAM;"9457";As;Greco - Roserio;Canonico;"13.97";"47";9.16941433348214;45.4863116993079;"(45.4863116993079, 9.16941433348214)"
"10";TRAM;"14034";As;Lunigiana - 6 Febbraio (LAV. Genova/Colombo);Canonico;"5.57";"22";9.18360668441335;45.4833052978317;"(45.4833052978317, 9.18360668441335)"
"10";TRAM;"14035";Di;6 Febbraio -  Lunigiana - (LAV. Genova/Colombo);Canonico;"5.54";"22";9.18312600984227;45.4831387652415;"(45.4831387652415, 9.18312600984227)"
"115";BUS;"13785";As;Gratosoglio - P.za Diaz (CHIUSURA P.ZA VELASCA);Canonico;"7.48";"21";9.17954274803622;45.434493658328;"(45.434493658328, 9.17954274803622)"
"115";BUS;"13786";Di;P.za Diaz - Gratosoglio (CHIUSURA P.za VELASCA);Canonico;"7.83";"21";9.17944323973994;45.4344089574427;"(45.4344089574427, 9.17944323973994)"
"12";TRAM;"12574";As;Roserio - Molise;Canonico;"13.04";"40";9.17172940655652;45.4836032430616;"(45.4836032430616, 9.17172940655652)"
"12";TRAM;"4282";Di;Molise - Roserio;Canonico;"12.99";"41";9.1710179375591;45.4840603592944;"(45.4840603592944, 9.1710179375591)"
"121";BUS;"13985";Di;S.Giuliano M. (Stz F.S.) - Stz S.Donato M3;Canonico;"6.40";"15";9.26609308320216;45.4124548258505;"(45.4124548258505, 9.26609308320216)"
"121";BUS;"13986";Di;S.Giuliano M. (De Nicola) - Stz S.Donato M3;Barrato;"6.14";"14";9.26567184692054;45.4144462388795;"(45.4144462388795, 9.26567184692054)"
"121";BUS;"13987";As;Stz S.Donato M3 - S.Giuliano M (Stz F.S.);Canonico;"6.41";"13";9.26625945932254;45.4119601517465;"(45.4119601517465, 9.26625945932254)"
"121";BUS;"13988";As;Stz S.Donato M3 - S.Giuliano M (De Nicola);Barrato;"6.13";"12";9.26582639080855;45.4140259540441;"(45.4140259540441, 9.26582639080855)"
"124";BUS;"13787";As;Vigentino - Duomo (CHIUSURA P.ZA VELASCA);Canonico;"5.46";"16";9.19807586028296;45.4411585748551;"(45.4411585748551, 9.19807586028296)"
"124";BUS;"13788";Di;Duomo - Vigentino (CHIUSURA P.ZA VELASCA);Canonico;"5.77";"17";9.19816091944115;45.4418436403672;"(45.4418436403672, 9.19816091944115)"
"125";BUS;"10011";As;Centrale FS M2 M3 - Cadorna FN M1 M2;Canonico;"5.72";"9";9.18067264796794;45.4805971659072;"(45.4805971659072, 9.18067264796794)"
"125";BUS;"10294";Di;Cadorna FN M1 M2 - Centrale FS M2 M3;Canonico;"11.03";"26";9.19186086249187;45.4631138143877;"(45.4631138143877, 9.19186086249187)"
"126";BUS;"9970";As;Centrale FS M2 M3 - Cadorna FN M1 M2;Canonico;"10.87";"26";9.19170067727802;45.4627560919622;"(45.4627560919622, 9.19170067727802)"
"126";BUS;"9971";Di;Cadorna FN M1 M2 - Centrale FS M2 M3;Canonico;"5.26";"9";9.18037853001007;45.4813040633905;"(45.4813040633905, 9.18037853001007)"
"127";BUS;"13789";As;Ungheria - P.za Diaz (CHIUSURA P.ZA VELASCA);Canonico;"7.23";"24";9.22773161563329;45.457772455843;"(45.457772455843, 9.22773161563329)"
"127";BUS;"13790";Di;P.za Diaz - Ungheria (CHIUSURA P.ZA VELASCA);Canonico;"8.08";"24";9.22821281283017;45.4568445440939;"(45.4568445440939, 9.22821281283017)"
"130";BUS;"12176";As;S.Donato M3 - S.Giuliano M.se (mercato sabato);Barrato;"10.32";"26";9.28328611439911;45.40607449211;"(45.40607449211, 9.28328611439911)"
"130";BUS;"12177";As;S.Donato M3 - S.Giuliano M.se;Canonico;"9.68";"27";9.28229107165193;45.4065747240931;"(45.4065747240931, 9.28229107165193)"
"130";BUS;"12178";Di;S.Giuliano M.se - S. Donato M3;Canonico;"9.85";"27";9.28334413772365;45.4058007964324;"(45.4058007964324, 9.28334413772365)"
"130";BUS;"12179";Di;S.Giuliano M.se - S. Donato M3 (mercato sabato);Barrato;"10.73";"26";9.28439396168162;45.4050732085495;"(45.4050732085495, 9.28439396168162)"
"132";BUS;"11825";Di;S. Donato (Di Vittorio) - S. Donato M3 (Marignano);Canonico;"8.91";"25";9.26446006017117;45.4191303626979;"(45.4191303626979, 9.26446006017117)"
"132";BUS;"12196";As;S. Donato M3 (Marignano) - S. Donato ( Di Vittorio);Canonico;"6.62";"19";9.26524824683231;45.4145578295359;"(45.4145578295359, 9.26524824683231)"
"14";TRAM;"12603";As;Cim. Maggiore - Lorenteggio;Canonico;"14.45";"43";9.15555009732849;45.4698584606022;"(45.4698584606022, 9.15555009732849)"
"14";TRAM;"12625";Di;Lorenteggio - Cim. Maggiore;Canonico;"14.33";"46";9.15583100143228;45.4707037804114;"(45.4707037804114, 9.15583100143228)"
"140";BUS;"12073";Di;Cefalonia - Rogoredo;Canonico;"16.04";"32";9.24951658488692;45.4070277789277;"(45.4070277789277, 9.24951658488692)"
"140";BUS;"12074";As;Rogoredo - Cefalonia;Canonico;"15.60";"29";9.24843362272219;45.4067941082296;"(45.4067941082296, 9.24843362272219)"
"15";TRAM;"9901";Di;Dogana M1 M3 - Rozzano Via G. Rossa;Canonico;"11.78";"32";9.17388760105661;45.4140400329759;"(45.4140400329759, 9.17388760105661)"
"15";TRAM;"9902";Di;Porta Lodovica - Rozzano Via G. Rossa;Barrato;"10.27";"28";9.1719427007145;45.4079306594346;"(45.4079306594346, 9.1719427007145)"
"15";TRAM;"9903";As;Rozzano Via G. Rossa - Dogana M1 M3;Canonico;"11.39";"32";9.17444997048822;45.4147701720185;"(45.4147701720185, 9.17444997048822)"
"15";TRAM;"9904";As;Rozzano Via G. Rossa - Giambologna/Tabacchi;Barrato;"9.69";"27";9.17232373872161;45.4079503206471;"(45.4079503206471, 9.17232373872161)"
"151";BUS;"11202";Di;Cairoli M1 - Q.re Olmi;Canonico;"11.85";"27";9.12657602229072;45.460875557892;"(45.460875557892, 9.12657602229072)"
"151";BUS;"12453";As;Q.re Olmi - Cairoli M1;Canonico;"10.02";"23";9.12951709524669;45.461482194475;"(45.461482194475, 9.12951709524669)"
"151";BUS;"13540";As;Molino Dorino M1 - Sesto FS;Canonico;"22.08";"35";9.17520029511948;45.4900692699363;"(45.4900692699363, 9.17520029511948)"
"151";BUS;"13791";Di;Sesto FS - Molino Dorino (CHIUSURA P.ZA VELASCA);Canonico;"21.84";"35";9.17615248749018;45.4896887639974;"(45.4896887639974, 9.17615248749018)"
"152";BUS;"14042";As;C.na Gobba - P.za Abbiategrasso (nM2)(LAV. CHIUSURA CARDUCCI + Lav Genova - colombo));Canonico;"24.25";"27";9.19523615276808;45.4691286270024;"(45.4691286270024, 9.19523615276808)"
"152";BUS;"14044";Di;P.za Abbiategrasso - C.na Gobba (nM2)(LAV. CHIUSURA CARDUCCI)+(LAV.C.na GOBBA e lav genova));Canonico;"24.92";"28";9.19812352264443;45.4705365618855;"(45.4705365618855, 9.19812352264443)"
"153";BUS;"13991";Di;Comasina M3 - San Donato M3;Canonico;"21.27";"29";9.20544793756392;45.4686953984377;"(45.4686953984377, 9.20544793756392)"
"153";BUS;"14000";As;San Donato - Comasina (CHIUSURA P.ZA VELASCA);Canonico;"19.80";"30";9.20585580206252;45.4671852652602;"(45.4671852652602, 9.20585580206252)"
"154";BUS;"13870";As;Linate Aeroporto M4 - Duomo M1 M3;Canonico;"8.23";"12";9.23305505291902;45.4642462157836;"(45.4642462157836, 9.23305505291902)"
"154";BUS;"13871";Di;Duomo M1 M3 - Linate Aeroporto M4;Canonico;"8.48";"11";9.23188037354221;45.4640441421216;"(45.4640441421216, 9.23188037354221)"
"16";TRAM;"12162";As;M.te Velino - S.Siro;Canonico;"10.17";"35";9.17694465522051;45.4636385957768;"(45.4636385957768, 9.17694465522051)"
