percorso;num;id_ferm
"10151";"7";"13331"
"6774";"16";"11915"
"12162";"26";"10635"
"322";"11";"13691"
"12273";"2";"13284"
"9829";"10";"11204"
"13706";"10";"12860"
"13019";"15";"16520"
"13385";"15";"20005"
"6737";"6";"11691"
"10294";"11";"11461"
"9904";"19";"11131"
"9320";"9";"16665"
"7621";"4";"14098"
"9319";"4";"15614"
"7691";"9";"15199"
"3732";"12";"10440"
"10077";"5";"12734"
"14016";"18";"12298"
"7653";"19";"16538"
"6142";"16";"13098"
"13126";"5";"12866"
"6807";"9";"14499"
"9160";"19";"15398"
"13839";"9";"16158"
"8119";"13";"10267"
"13457";"16";"12660"
"7691";"10";"13539"
"13807";"8";"12389"
"13959";"6";"17170"
"9843";"18";"11588"
"11652";"3";"18096"
"9843";"24";"11338"
"11709";"11";"12402"
"13374";"9";"15909"
"13615";"18";"13206"
"13807";"22";"15751"
"13639";"5";"13209"
"10013";"3";"13799"
"8988";"4";"10679"
"10300";"6";"10090"
"10737";"23";"11536"
"12963";"3";"15557"
"9160";"13";"15386"
"13839";"2";"16195"
"6791";"3";"15647"
"9829";"4";"11253"
"13161";"24";"18112"
"4243";"15";"11083"
"13154";"13";"13213"
"13759";"17";"11467"
"11301";"4";"16340"
"11358";"10";"11158"
"6774";"18";"11938"
"12574";"29";"11515"
"13437";"7";"17301"
"7212";"14";"12320"
"13161";"26";"12868"
"13769";"23";"16931"
"12893";"9";"11371"
"11825";"5";"18468"
"3001";"4";"10884"
"13760";"8";"11795"
"8599";"15";"13973"
"11657";"23";"15081"
"8119";"16";"10073"
"10306";"6";"15157"
"13996";"12";"15759"
"12976";"33";"12785"
"13453";"11";"12615"
"12309";"10";"14360"
"12969";"25";"15778"
"10304";"10";"10254"
"12442";"11";"12744"
"12560";"29";"11546"
"6791";"9";"12281"
"13991";"29";"12811"
"10545";"31";"16033"
"13759";"21";"17770"
"13760";"13";"11839"
"13159";"15";"13235"
"13156";"13";"13216"
"11198";"20";"10212"
"13019";"14";"16519"
"8090";"3";"10332"
"12574";"22";"11312"
"3578";"22";"12184"
"10552";"28";"13803"
"10013";"8";"14914"
"14025";"8";"11177"
"10077";"10";"12789"
"12625";"15";"11187"
"8093";"3";"10616"
"13791";"13";"12181"
"11213";"22";"10623"
"13830";"14";"13329"
"10389";"2";"15214"
"13704";"7";"12675"
"13828";"17";"13327"
"4086";"1";"13158"
"10306";"4";"10036"
"13664";"16";"10923"
"9693";"1";"18009"
"12310";"14";"14360"
"5099";"2";"12531"
"5795";"19";"13351"
"8174";"24";"12318"
"5099";"18";"12105"
"9367";"38";"12139"
"583";"24";"10158"
"13981";"8";"12324"
"12254";"4";"16316"
"13790";"3";"11798"
"4705";"14";"11561"
"8843";"4";"14939"
"10011";"1";"16875"
"7542";"18";"10691"
"11628";"12";"11758"
"11684";"8";"15099"
"12560";"42";"12175"
"13125";"4";"12689"
"13512";"42";"13314"
"12841";"14";"16560"
"10077";"3";"12735"
"3575";"35";"12363"
"3851";"2";"15384"
"7543";"7";"11303"
"12074";"4";"12322"
"12976";"30";"12569"
"13771";"10";"12149"
"8174";"25";"15060"
"12963";"1";"17343"
"10548";"33";"15974"
"6777";"17";"11979"
"9747";"5";"11413"
"12174";"8";"13492"
"6777";"16";"11986"
"10552";"19";"17389"
