"NIL (Nuclei di Identità Locale)";"Cittadinanza (2 modalità)";"Residenti"
"Duomo (1)";"Italiana";14123
"Duomo (1)";"Straniera";2527
"Brera (2)";"Italiana";15269
"Brera (2)";"Straniera";3286
"Giardini P.ta Venezia (3)";"Italiana";34
"Giardini P.ta Venezia (3)";"Straniera";12
"Guastalla (4)";"Italiana";13595
"Guastalla (4)";"Straniera";2090
"Porta Vigentina - Porta Lodovica (5)";"Italiana";12109
"Porta Vigentina - Porta Lodovica (5)";"Straniera";1520
"Porta Ticinese - Conca del Naviglio (6)";"Italiana";17346
"Porta Ticinese - Conca del Naviglio (6)";"Straniera";2983
"Magenta - S.Vittore (7)";"Italiana";15699
"Magenta - S.Vittore (7)";"Straniera";2516
"Porta Garibaldi - Porta Nuova (9)";"Italiana";4882
"Porta Garibaldi - Porta Nuova (9)";"Straniera";1048
"Stazione Centrale - Ponte Seveso (10)";"Italiana";13775
"Stazione Centrale - Ponte Seveso (10)";"Straniera";4135
"Isola (11)";"Italiana";18187
"Isola (11)";"Straniera";4661
"Maciachini - Maggiolina (12)";"Italiana";20784
"Maciachini - Maggiolina (12)";"Straniera";5728
"Greco - Segnano (13)";"Italiana";12643
"Greco - Segnano (13)";"Straniera";3802
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Italiana";30243
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Straniera";6329
"Bicocca (15)";"Italiana";7297
"Bicocca (15)";"Straniera";1568
"Gorla - Precotto (16)";"Italiana";23148
"Gorla - Precotto (16)";"Straniera";7177
"Adriano (17)";"Italiana";13694
"Adriano (17)";"Straniera";4456
"Cimiano - Rottole - Q.re Feltre (18)";"Italiana";16341
"Cimiano - Rottole - Q.re Feltre (18)";"Straniera";3408
"Padova - Turro - Crescenzago (19)";"Italiana";24955
"Padova - Turro - Crescenzago (19)";"Straniera";13606
"Loreto - Casoretto - NoLo (20)";"Italiana";29773
"Loreto - Casoretto - NoLo (20)";"Straniera";14583
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Italiana";54257
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Straniera";8816
"Citta' studi (22)";"Italiana";30710
"Citta' studi (22)";"Straniera";5841
"Lambrate - Ortica (23)";"Italiana";10507
"Lambrate - Ortica (23)";"Straniera";2097
"Parco Forlanini - Cavriano (24)";"Italiana";808
"Parco Forlanini - Cavriano (24)";"Straniera";1646
"Corsica (25)";"Italiana";16987
"Corsica (25)";"Straniera";2817
"XXII Marzo (26)";"Italiana";28266
"XXII Marzo (26)";"Straniera";3578
"Pta Romana (27)";"Italiana";14588
"Pta Romana (27)";"Straniera";1973
"Umbria - Molise - Calvairate (28)";"Italiana";18588
"Umbria - Molise - Calvairate (28)";"Straniera";4890
"Ortomercato (29)";"Italiana";2558
"Ortomercato (29)";"Straniera";1646
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Italiana";15931
