"NIL";"Anno";"Famiglie"
"Duomo (1)";"1999";11115
"Duomo (1)";"2000";11026
"Duomo (1)";"2001";11109
"Duomo (1)";"2002";10660
"Duomo (1)";"2003";9852
"Duomo (1)";"2004";9923
"Duomo (1)";"2005";9928
"Duomo (1)";"2006";9769
"Duomo (1)";"2007";9580
"Duomo (1)";"2008";9413
"Duomo (1)";"2009";9432
"Duomo (1)";"2010";9517
"Duomo (1)";"2011";9568
"Duomo (1)";"2012";9654
"Duomo (1)";"2013";9356
"Duomo (1)";"2014";9089
"Duomo (1)";"2015";9214
"Duomo (1)";"2016";9330
"Duomo (1)";"2017";9352
"Duomo (1)";"2018";9377
"Duomo (1)";"2019";9487
"Duomo (1)";"2020";9216
"Duomo (1)";"2021";9118
"Duomo (1)";"2022";9123
"Duomo (1)";"2023";9266
"Brera (2)";"1999";10702
"Brera (2)";"2000";10754
"Brera (2)";"2001";10934
"Brera (2)";"2002";10879
"Brera (2)";"2003";9852
"Brera (2)";"2004";10118
"Brera (2)";"2005";10169
"Brera (2)";"2006";10128
"Brera (2)";"2007";10048
"Brera (2)";"2008";10027
"Brera (2)";"2009";10067
"Brera (2)";"2010";10132
"Brera (2)";"2011";10196
"Brera (2)";"2012";10289
"Brera (2)";"2013";10142
"Brera (2)";"2014";10121
"Brera (2)";"2015";10115
"Brera (2)";"2016";10114
"Brera (2)";"2017";10291
"Brera (2)";"2018";10466
"Brera (2)";"2019";10544
"Brera (2)";"2020";10564
"Brera (2)";"2021";10262
"Brera (2)";"2022";10449
"Brera (2)";"2023";10694
"Giardini P.ta Venezia (3)";"1999";21
"Giardini P.ta Venezia (3)";"2000";21
"Giardini P.ta Venezia (3)";"2001";20
"Giardini P.ta Venezia (3)";"2002";21
"Giardini P.ta Venezia (3)";"2003";16
"Giardini P.ta Venezia (3)";"2004";16
"Giardini P.ta Venezia (3)";"2005";17
"Giardini P.ta Venezia (3)";"2006";18
"Giardini P.ta Venezia (3)";"2007";18
"Giardini P.ta Venezia (3)";"2008";18
"Giardini P.ta Venezia (3)";"2009";18
"Giardini P.ta Venezia (3)";"2010";18
"Giardini P.ta Venezia (3)";"2011";21
"Giardini P.ta Venezia (3)";"2012";23
"Giardini P.ta Venezia (3)";"2013";19
"Giardini P.ta Venezia (3)";"2014";19
"Giardini P.ta Venezia (3)";"2015";22
"Giardini P.ta Venezia (3)";"2016";21
"Giardini P.ta Venezia (3)";"2017";20
"Giardini P.ta Venezia (3)";"2018";21
"Giardini P.ta Venezia (3)";"2019";24
"Giardini P.ta Venezia (3)";"2020";20
"Giardini P.ta Venezia (3)";"2021";22
"Giardini P.ta Venezia (3)";"2022";22
"Giardini P.ta Venezia (3)";"2023";22
"Guastalla (4)";"1999";8765
"Guastalla (4)";"2000";8726
"Guastalla (4)";"2001";8786
"Guastalla (4)";"2002";8748
"Guastalla (4)";"2003";7980
"Guastalla (4)";"2004";8181
"Guastalla (4)";"2005";8239
"Guastalla (4)";"2006";8216
"Guastalla (4)";"2007";8143
"Guastalla (4)";"2008";8111
"Guastalla (4)";"2009";8133
"Guastalla (4)";"2010";8218
"Guastalla (4)";"2011";8286
"Guastalla (4)";"2012";8447
"Guastalla (4)";"2013";8238
"Guastalla (4)";"2014";8151
"Guastalla (4)";"2015";8132
"Guastalla (4)";"2016";8144
"Guastalla (4)";"2017";8179
"Guastalla (4)";"2018";8266
"Guastalla (4)";"2019";8475
"Guastalla (4)";"2020";8396
"Guastalla (4)";"2021";8372
"Guastalla (4)";"2022";8457
"Guastalla (4)";"2023";8637
"Porta Vigentina - Porta Lodovica (5)";"1999";7359
"Porta Vigentina - Porta Lodovica (5)";"2000";7438
"Porta Vigentina - Porta Lodovica (5)";"2001";7553
"Porta Vigentina - Porta Lodovica (5)";"2002";7564
"Porta Vigentina - Porta Lodovica (5)";"2003";7052
"Porta Vigentina - Porta Lodovica (5)";"2004";7300
"Porta Vigentina - Porta Lodovica (5)";"2005";7247
"Porta Vigentina - Porta Lodovica (5)";"2006";7172
"Porta Vigentina - Porta Lodovica (5)";"2007";7080
"Porta Vigentina - Porta Lodovica (5)";"2008";7060
"Porta Vigentina - Porta Lodovica (5)";"2009";7102
"Porta Vigentina - Porta Lodovica (5)";"2010";7205
"Porta Vigentina - Porta Lodovica (5)";"2011";7299
"Porta Vigentina - Porta Lodovica (5)";"2012";7508
"Porta Vigentina - Porta Lodovica (5)";"2013";7385
"Porta Vigentina - Porta Lodovica (5)";"2014";7213
"Porta Vigentina - Porta Lodovica (5)";"2015";7223
"Porta Vigentina - Porta Lodovica (5)";"2016";7229
"Porta Vigentina - Porta Lodovica (5)";"2017";7287
"Porta Vigentina - Porta Lodovica (5)";"2018";7364
"Porta Vigentina - Porta Lodovica (5)";"2019";7483
"Porta Vigentina - Porta Lodovica (5)";"2020";7406
"Porta Vigentina - Porta Lodovica (5)";"2021";7310
"Porta Vigentina - Porta Lodovica (5)";"2022";7365
"Porta Vigentina - Porta Lodovica (5)";"2023";7531
"Porta Ticinese - Conca del Naviglio (6)";"1999";12195
"Porta Ticinese - Conca del Naviglio (6)";"2000";12228
"Porta Ticinese - Conca del Naviglio (6)";"2001";12474
"Porta Ticinese - Conca del Naviglio (6)";"2002";12362
"Porta Ticinese - Conca del Naviglio (6)";"2003";11367
"Porta Ticinese - Conca del Naviglio (6)";"2004";11803
"Porta Ticinese - Conca del Naviglio (6)";"2005";11839
"Porta Ticinese - Conca del Naviglio (6)";"2006";11781
"Porta Ticinese - Conca del Naviglio (6)";"2007";11676
"Porta Ticinese - Conca del Naviglio (6)";"2008";11652
"Porta Ticinese - Conca del Naviglio (6)";"2009";11597
"Porta Ticinese - Conca del Naviglio (6)";"2010";11721
"Porta Ticinese - Conca del Naviglio (6)";"2011";11808
"Porta Ticinese - Conca del Naviglio (6)";"2012";11940
"Porta Ticinese - Conca del Naviglio (6)";"2013";11794
"Porta Ticinese - Conca del Naviglio (6)";"2014";11415
"Porta Ticinese - Conca del Naviglio (6)";"2015";11420
"Porta Ticinese - Conca del Naviglio (6)";"2016";11407
"Porta Ticinese - Conca del Naviglio (6)";"2017";11510
"Porta Ticinese - Conca del Naviglio (6)";"2018";11624
"Porta Ticinese - Conca del Naviglio (6)";"2019";11980
"Porta Ticinese - Conca del Naviglio (6)";"2020";12042
"Porta Ticinese - Conca del Naviglio (6)";"2021";12003
"Porta Ticinese - Conca del Naviglio (6)";"2022";12136
"Porta Ticinese - Conca del Naviglio (6)";"2023";12479
"Magenta - S.Vittore (7)";"1999";9747
"Magenta - S.Vittore (7)";"2000";9821
"Magenta - S.Vittore (7)";"2001";9892
"Magenta - S.Vittore (7)";"2002";9832
"Magenta - S.Vittore (7)";"2003";9220
"Magenta - S.Vittore (7)";"2004";9437
"Magenta - S.Vittore (7)";"2005";9462
"Magenta - S.Vittore (7)";"2006";9356
"Magenta - S.Vittore (7)";"2007";9280
"Magenta - S.Vittore (7)";"2008";9198
"Magenta - S.Vittore (7)";"2009";9162
"Magenta - S.Vittore (7)";"2010";9245
"Magenta - S.Vittore (7)";"2011";9278
"Magenta - S.Vittore (7)";"2012";9354
"Magenta - S.Vittore (7)";"2013";9153
"Magenta - S.Vittore (7)";"2014";8958
"Magenta - S.Vittore (7)";"2015";9029
"Magenta - S.Vittore (7)";"2016";9083
"Magenta - S.Vittore (7)";"2017";9171
"Magenta - S.Vittore (7)";"2018";9413
"Magenta - S.Vittore (7)";"2019";9526
"Magenta - S.Vittore (7)";"2020";9497
"Magenta - S.Vittore (7)";"2021";9476
"Magenta - S.Vittore (7)";"2022";9621
"Magenta - S.Vittore (7)";"2023";9830
"Parco Sempione (8)";"1999";5
"Parco Sempione (8)";"2000";3
"Parco Sempione (8)";"2001";3
"Parco Sempione (8)";"2002";3
"Parco Sempione (8)";"2003";2
"Parco Sempione (8)";"2004";2
"Parco Sempione (8)";"2005";2
"Parco Sempione (8)";"2006";1
"Parco Sempione (8)";"2007";1
"Parco Sempione (8)";"2008";1
"Parco Sempione (8)";"2009";1
"Parco Sempione (8)";"2010";1
"Parco Sempione (8)";"2011";1
"Parco Sempione (8)";"2012";1
"Parco Sempione (8)";"2013";1
"Parco Sempione (8)";"2014";1
"Parco Sempione (8)";"2015";1
"Parco Sempione (8)";"2016";1
"Parco Sempione (8)";"2017";1
"Parco Sempione (8)";"2018";1
"Parco Sempione (8)";"2019";1
"Porta Garibaldi - Porta Nuova (9)";"1999";3467
"Porta Garibaldi - Porta Nuova (9)";"2000";3500
"Porta Garibaldi - Porta Nuova (9)";"2001";3550
"Porta Garibaldi - Porta Nuova (9)";"2002";3287
"Porta Garibaldi - Porta Nuova (9)";"2003";3023
"Porta Garibaldi - Porta Nuova (9)";"2004";3197
"Porta Garibaldi - Porta Nuova (9)";"2005";3226
"Porta Garibaldi - Porta Nuova (9)";"2006";3125
"Porta Garibaldi - Porta Nuova (9)";"2007";3077
"Porta Garibaldi - Porta Nuova (9)";"2008";3028
"Porta Garibaldi - Porta Nuova (9)";"2009";3030
"Porta Garibaldi - Porta Nuova (9)";"2010";3085
"Porta Garibaldi - Porta Nuova (9)";"2011";3075
"Porta Garibaldi - Porta Nuova (9)";"2012";3161
"Porta Garibaldi - Porta Nuova (9)";"2013";3068
"Porta Garibaldi - Porta Nuova (9)";"2014";3106
"Porta Garibaldi - Porta Nuova (9)";"2015";3124
"Porta Garibaldi - Porta Nuova (9)";"2016";3257
"Porta Garibaldi - Porta Nuova (9)";"2017";3323
"Porta Garibaldi - Porta Nuova (9)";"2018";3422
"Porta Garibaldi - Porta Nuova (9)";"2019";3475
"Porta Garibaldi - Porta Nuova (9)";"2020";3505
"Porta Garibaldi - Porta Nuova (9)";"2021";3518
"Porta Garibaldi - Porta Nuova (9)";"2022";3587
"Porta Garibaldi - Porta Nuova (9)";"2023";3607
"Stazione Centrale - Ponte Seveso (10)";"1999";9432
"Stazione Centrale - Ponte Seveso (10)";"2000";9531
"Stazione Centrale - Ponte Seveso (10)";"2001";9689
"Stazione Centrale - Ponte Seveso (10)";"2002";9497
"Stazione Centrale - Ponte Seveso (10)";"2003";8470
"Stazione Centrale - Ponte Seveso (10)";"2004";9009
"Stazione Centrale - Ponte Seveso (10)";"2005";9121
"Stazione Centrale - Ponte Seveso (10)";"2006";9103
"Stazione Centrale - Ponte Seveso (10)";"2007";9129
"Stazione Centrale - Ponte Seveso (10)";"2008";9088
"Stazione Centrale - Ponte Seveso (10)";"2009";9340
"Stazione Centrale - Ponte Seveso (10)";"2010";9553
"Stazione Centrale - Ponte Seveso (10)";"2011";9823
"Stazione Centrale - Ponte Seveso (10)";"2012";10294
"Stazione Centrale - Ponte Seveso (10)";"2013";10168
"Stazione Centrale - Ponte Seveso (10)";"2014";9999
"Stazione Centrale - Ponte Seveso (10)";"2015";10315
"Stazione Centrale - Ponte Seveso (10)";"2016";10532
"Stazione Centrale - Ponte Seveso (10)";"2017";10975
"Stazione Centrale - Ponte Seveso (10)";"2018";11687
"Stazione Centrale - Ponte Seveso (10)";"2019";11675
"Stazione Centrale - Ponte Seveso (10)";"2020";11311
"Stazione Centrale - Ponte Seveso (10)";"2021";11106
"Stazione Centrale - Ponte Seveso (10)";"2022";11015
"Stazione Centrale - Ponte Seveso (10)";"2023";10602
"Isola (11)";"1999";11647
"Isola (11)";"2000";11879
"Isola (11)";"2001";12168
"Isola (11)";"2002";11819
"Isola (11)";"2003";11294
"Isola (11)";"2004";12010
"Isola (11)";"2005";12271
"Isola (11)";"2006";12109
"Isola (11)";"2007";12057
"Isola (11)";"2008";11972
"Isola (11)";"2009";12184
"Isola (11)";"2010";12421
"Isola (11)";"2011";12689
"Isola (11)";"2012";13092
"Isola (11)";"2013";12917
"Isola (11)";"2014";12910
"Isola (11)";"2015";13066
"Isola (11)";"2016";13148
"Isola (11)";"2017";13289
"Isola (11)";"2018";13459
"Isola (11)";"2019";13577
"Isola (11)";"2020";13408
"Isola (11)";"2021";13283
"Isola (11)";"2022";13332
"Isola (11)";"2023";13623
"Maciachini - Maggiolina (12)";"1999";13066
"Maciachini - Maggiolina (12)";"2000";13214
"Maciachini - Maggiolina (12)";"2001";13286
"Maciachini - Maggiolina (12)";"2002";13031
"Maciachini - Maggiolina (12)";"2003";12518
"Maciachini - Maggiolina (12)";"2004";12969
"Maciachini - Maggiolina (12)";"2005";13051
"Maciachini - Maggiolina (12)";"2006";13107
"Maciachini - Maggiolina (12)";"2007";13106
"Maciachini - Maggiolina (12)";"2008";13120
"Maciachini - Maggiolina (12)";"2009";13362
"Maciachini - Maggiolina (12)";"2010";13721
"Maciachini - Maggiolina (12)";"2011";14016
"Maciachini - Maggiolina (12)";"2012";14417
"Maciachini - Maggiolina (12)";"2013";14166
"Maciachini - Maggiolina (12)";"2014";13994
"Maciachini - Maggiolina (12)";"2015";14039
"Maciachini - Maggiolina (12)";"2016";14128
"Maciachini - Maggiolina (12)";"2017";14217
"Maciachini - Maggiolina (12)";"2018";14266
"Maciachini - Maggiolina (12)";"2019";14416
"Maciachini - Maggiolina (12)";"2020";14365
"Maciachini - Maggiolina (12)";"2021";14364
"Maciachini - Maggiolina (12)";"2022";14572
"Maciachini - Maggiolina (12)";"2023";15037
"Greco - Segnano (13)";"1999";6796
"Greco - Segnano (13)";"2000";6813
"Greco - Segnano (13)";"2001";7023
"Greco - Segnano (13)";"2002";6962
"Greco - Segnano (13)";"2003";6750
"Greco - Segnano (13)";"2004";7146
"Greco - Segnano (13)";"2005";7298
"Greco - Segnano (13)";"2006";7351
"Greco - Segnano (13)";"2007";7373
"Greco - Segnano (13)";"2008";7366
"Greco - Segnano (13)";"2009";7526
"Greco - Segnano (13)";"2010";7688
"Greco - Segnano (13)";"2011";7851
"Greco - Segnano (13)";"2012";8149
"Greco - Segnano (13)";"2013";8123
"Greco - Segnano (13)";"2014";8068
"Greco - Segnano (13)";"2015";8115
"Greco - Segnano (13)";"2016";8192
"Greco - Segnano (13)";"2017";8309
"Greco - Segnano (13)";"2018";8566
"Greco - Segnano (13)";"2019";8720
