"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"1999";"Duomo (1)";"Europa (Italia esclusa)";873
"1999";"Duomo (1)";"Asia";688
"1999";"Duomo (1)";"Africa";243
"1999";"Duomo (1)";"America";402
"1999";"Duomo (1)";"Oceania";5
"1999";"Duomo (1)";"Apolidi";5
"1999";"Brera (2)";"n.d.";2
"1999";"Brera (2)";"Europa (Italia esclusa)";873
"1999";"Brera (2)";"Asia";538
"1999";"Brera (2)";"Africa";275
"1999";"Brera (2)";"America";403
"1999";"Brera (2)";"Oceania";8
"1999";"Brera (2)";"Apolidi";1
"1999";"Giardini P.ta Venezia (3)";"Europa (Italia esclusa)";8
"1999";"Giardini P.ta Venezia (3)";"Asia";9
"1999";"Giardini P.ta Venezia (3)";"Africa";2
"1999";"Giardini P.ta Venezia (3)";"America";2
"1999";"Guastalla (4)";"Europa (Italia esclusa)";670
"1999";"Guastalla (4)";"Asia";639
"1999";"Guastalla (4)";"Africa";244
"1999";"Guastalla (4)";"America";338
"1999";"Guastalla (4)";"Oceania";3
"1999";"Guastalla (4)";"Apolidi";2
"1999";"Porta Vigentina - Porta Lodovica (5)";"Europa (Italia esclusa)";328
"1999";"Porta Vigentina - Porta Lodovica (5)";"Asia";349
"1999";"Porta Vigentina - Porta Lodovica (5)";"Africa";249
"1999";"Porta Vigentina - Porta Lodovica (5)";"America";179
"1999";"Porta Vigentina - Porta Lodovica (5)";"Oceania";6
"1999";"Porta Vigentina - Porta Lodovica (5)";"Apolidi";1
"1999";"Porta Ticinese - Conca del Naviglio (6)";"Europa (Italia esclusa)";490
"1999";"Porta Ticinese - Conca del Naviglio (6)";"Asia";827
"1999";"Porta Ticinese - Conca del Naviglio (6)";"Africa";512
"1999";"Porta Ticinese - Conca del Naviglio (6)";"America";339
"1999";"Porta Ticinese - Conca del Naviglio (6)";"Oceania";2
"1999";"Porta Ticinese - Conca del Naviglio (6)";"Apolidi";2
"1999";"Magenta - S.Vittore (7)";"Europa (Italia esclusa)";705
"1999";"Magenta - S.Vittore (7)";"Asia";551
"1999";"Magenta - S.Vittore (7)";"Africa";124
"1999";"Magenta - S.Vittore (7)";"America";279
"1999";"Magenta - S.Vittore (7)";"Oceania";4
"1999";"Porta Garibaldi - Porta Nuova (9)";"Europa (Italia esclusa)";165
"1999";"Porta Garibaldi - Porta Nuova (9)";"Asia";269
"1999";"Porta Garibaldi - Porta Nuova (9)";"Africa";143
"1999";"Porta Garibaldi - Porta Nuova (9)";"America";113
"1999";"Porta Garibaldi - Porta Nuova (9)";"Apolidi";1
"1999";"Stazione Centrale - Ponte Seveso (10)";"Europa (Italia esclusa)";717
"1999";"Stazione Centrale - Ponte Seveso (10)";"Asia";1065
"1999";"Stazione Centrale - Ponte Seveso (10)";"Africa";372
"1999";"Stazione Centrale - Ponte Seveso (10)";"America";394
"1999";"Stazione Centrale - Ponte Seveso (10)";"Oceania";6
"1999";"Stazione Centrale - Ponte Seveso (10)";"Apolidi";1
"1999";"Isola (11)";"Europa (Italia esclusa)";406
"1999";"Isola (11)";"Asia";1061
"1999";"Isola (11)";"Africa";717
"1999";"Isola (11)";"America";362
"1999";"Isola (11)";"Oceania";1
"1999";"Maciachini - Maggiolina (12)";"Europa (Italia esclusa)";590
"1999";"Maciachini - Maggiolina (12)";"Asia";885
"1999";"Maciachini - Maggiolina (12)";"Africa";266
"1999";"Maciachini - Maggiolina (12)";"America";367
"1999";"Maciachini - Maggiolina (12)";"Oceania";3
"1999";"Greco - Segnano (13)";"Europa (Italia esclusa)";204
"1999";"Greco - Segnano (13)";"Asia";474
"1999";"Greco - Segnano (13)";"Africa";220
"1999";"Greco - Segnano (13)";"America";179
"1999";"Greco - Segnano (13)";"Oceania";1
"1999";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Europa (Italia esclusa)";209
"1999";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Asia";246
"1999";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Africa";446
"1999";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"America";171
"1999";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Apolidi";1
"1999";"Bicocca (15)";"Europa (Italia esclusa)";49
"1999";"Bicocca (15)";"Asia";40
"1999";"Bicocca (15)";"Africa";122
"1999";"Bicocca (15)";"America";49
