ID_NIL;NIL ;Anno;Residenti
17;Adriano ;1999;9813
17;Adriano ;2000;10307
17;Adriano ;2001;11021
17;Adriano ;2002;11132
17;Adriano ;2003;11000
17;Adriano ;2004;11322
17;Adriano ;2005;11508
17;Adriano ;2006;11667
17;Adriano ;2007;11731
17;Adriano ;2008;11788
17;Adriano ;2009;12048
17;Adriano ;2010;12607
17;Adriano ;2011;14230
17;Adriano ;2012;15307
17;Adriano ;2013;15520
17;Adriano ;2014;15647
17;Adriano ;2015;15991
17;Adriano ;2016;16431
17;Adriano ;2017;16947
17;Adriano ;2018;17508
17;Adriano ;2019;17691
17;Adriano ;2020;17685
17;Adriano ;2021;17741
17;Adriano ;2022;18022
80;Affori ;1999;19502
80;Affori ;2000;19611
80;Affori ;2001;19685
80;Affori ;2002;19438
80;Affori ;2003;18871
80;Affori ;2004;19838
80;Affori ;2005;20469
80;Affori ;2006;20742
80;Affori ;2007;20968
80;Affori ;2008;21318
80;Affori ;2009;21753
80;Affori ;2010;22350
80;Affori ;2011;23061
80;Affori ;2012;24064
80;Affori ;2013;23999
80;Affori ;2014;24038
80;Affori ;2015;24540
80;Affori ;2016;24738
80;Affori ;2017;24893
80;Affori ;2018;25341
80;Affori ;2019;25396
80;Affori ;2020;25305
80;Affori ;2021;25414
80;Affori ;2022;25669
87;Assiano ;1999;273
87;Assiano ;2000;274
87;Assiano ;2001;298
87;Assiano ;2002;245
87;Assiano ;2003;214
87;Assiano ;2004;213
87;Assiano ;2005;235
87;Assiano ;2006;244
87;Assiano ;2007;246
87;Assiano ;2008;259
87;Assiano ;2009;289
87;Assiano ;2010;304
87;Assiano ;2011;294
87;Assiano ;2012;307
87;Assiano ;2013;322
87;Assiano ;2014;324
87;Assiano ;2015;324
87;Assiano ;2016;297
87;Assiano ;2017;302
87;Assiano ;2018;319
87;Assiano ;2019;295
87;Assiano ;2020;271
87;Assiano ;2021;201
87;Assiano ;2022;211
55;Baggio - Q.Re Degli Olmi - Q.Re Valsesia ;1999;29977
55;Baggio - Q.Re Degli Olmi - Q.Re Valsesia ;2000;30089
55;Baggio - Q.Re Degli Olmi - Q.Re Valsesia ;2001;30059
55;Baggio - Q.Re Degli Olmi - Q.Re Valsesia ;2002;29723
