Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
1999;n.d.;Brera (2);2
1999;n.d.;Buenos Aires - Porta Venezia - Porta Monforte (21);1
1999;Europa (Italia esclusa);Duomo (1);873
1999;Europa (Italia esclusa);Brera (2);873
1999;Europa (Italia esclusa);Giardini P.ta Venezia (3);8
1999;Europa (Italia esclusa);Guastalla (4);670
1999;Europa (Italia esclusa);Porta Vigentina - Porta Lodovica (5);328
1999;Europa (Italia esclusa);Porta Ticinese - Conca del Naviglio (6);490
1999;Europa (Italia esclusa);Magenta - S.Vittore (7);705
1999;Europa (Italia esclusa);Porta Garibaldi - Porta Nuova (9);165
1999;Europa (Italia esclusa);Stazione Centrale - Ponte Seveso (10);717
1999;Europa (Italia esclusa);Isola (11);406
1999;Europa (Italia esclusa);Maciachini - Maggiolina (12);590
1999;Europa (Italia esclusa);Greco - Segnano (13);204
1999;Europa (Italia esclusa);Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi (14);209
1999;Europa (Italia esclusa);Bicocca (15);49
1999;Europa (Italia esclusa);Gorla - Precotto (16);295
1999;Europa (Italia esclusa);Adriano (17);132
1999;Europa (Italia esclusa);Cimiano - Rottole - Q.re Feltre (18);270
1999;Europa (Italia esclusa);Padova - Turro - Crescenzago (19);501
1999;Europa (Italia esclusa);Loreto - Casoretto - NoLo (20);953
1999;Europa (Italia esclusa);Buenos Aires - Porta Venezia - Porta Monforte (21);1852
1999;Europa (Italia esclusa);Citta' studi (22);978
1999;Europa (Italia esclusa);Lambrate - Ortica (23);124
1999;Europa (Italia esclusa);Parco Forlanini - Cavriano (24);11
1999;Europa (Italia esclusa);Corsica (25);429
1999;Europa (Italia esclusa);XXII Marzo (26);785
1999;Europa (Italia esclusa);Pta Romana (27);393
1999;Europa (Italia esclusa);Umbria - Molise - Calvairate (28);291
1999;Europa (Italia esclusa);Ortomercato (29);48
1999;Europa (Italia esclusa);Taliedo - Morsenchio - Q.re Forlanini (30);164
1999;Europa (Italia esclusa);Monlue' - Ponte Lambro (31);44
1999;Europa (Italia esclusa);Triulzo Superiore (32);31
1999;Europa (Italia esclusa);Rogoredo - Santa Giulia (33);40
1999;Europa (Italia esclusa);Chiaravalle (34);4
1999;Europa (Italia esclusa);Lodi - Corvetto (35);392
1999;Europa (Italia esclusa);Scalo Romana (36);153
1999;Europa (Italia esclusa);Morivione (37);45
1999;Europa (Italia esclusa);Vigentino - Q.re Fatima (38);135
1999;Europa (Italia esclusa);Quintosole (39);2
1999;Europa (Italia esclusa);Ronchetto delle Rane (40);2
