Anno;Codice Azienda;Tipo Azienda;Codice struttura;Subcodice;Denominazione Struttura/Stabilimento;Indirizzo;Codice tipo struttura;Descrizione tipo struttura;Codice disciplina;Descrizione disciplina;Tipo di Disciplina;N Reparti;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto;address_MI;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;8;CARDIOLOGIA;ACUTI;1;13;0;0;0;13;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;9;CHIRURGIA GENERALE;ACUTI;4;88;0;6;7;101;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;10;CHIRURGIA MAXILLO FACCIALE;ACUTI;1;10;0;0;1;11;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;11;CHIRURGIA PEDIATRICA;ACUTI;1;18;0;0;3;21;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;13;CHIRURGIA TORACICA;ACUTI;1;12;0;1;2;15;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;14;CHIRURGIA VASCOLARE;ACUTI;1;15;0;1;1;17;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;18;EMATOLOGIA;ACUTI;2;23;0;18;0;41;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;19;MALATTIE ENDOCRINE DEL RICAMBIO E NUTRIZ;ACUTI;1;0;0;3;0;3;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;21;GERIATRIA;ACUTI;1;13;0;2;0;15;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;25;MEDICINA DEL LAVORO;ACUTI;2;4;0;5;0;9;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;26;MEDICINA GENERALE;ACUTI;6;122;0;21;0;143;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;29;NEFROLOGIA;ACUTI;2;24;0;3;0;27;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;30;NEUROCHIRURGIA;ACUTI;1;31;0;1;1;33;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;32;NEUROLOGIA;ACUTI;1;23;0;3;0;26;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;34;OCULISTICA;ACUTI;1;8;0;1;4;13;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;35;ODONTOIATRIA E STOMATOLOGIA;ACUTI;1;6;0;0;2;8;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;37;OSTETRICIA E GINECOLOGIA;ACUTI;3;126;0;0;26;152;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;38;OTORINOLARINGOIATRIA;ACUTI;1;16;0;0;2;18;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;39;PEDIATRIA;ACUTI;4;44;0;10;0;54;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
2011;925;2;30925;;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28;3.3;IRCCS fondazione;40;PSICHIATRIA;ACUTI;1;15;0;5;0;20;Via FRANCESCO SFORZA 28;20122;1;1;DUOMO;9.195911999999993;45.460386;(45.460386, 9.195911999999993)
