"NIL (Nuclei di Identità Locale)";"Numero di residenti";"Abitazioni"
"Duomo (1)";"1 residente";3441,57997095585
"Duomo (1)";"2 residenti";1888,76204687357
"Duomo (1)";"3 residenti";945,009433746338
"Duomo (1)";"4 residenti";760,459221661091
"Duomo (1)";"5 o più residenti";378,189343690872
"Brera (2)";"1 residente";3855,73737502098
"Brera (2)";"2 residenti";2193,63095295429
"Brera (2)";"3 residenti";1202,05620956421
"Brera (2)";"4 residenti";746,649255156517
"Brera (2)";"5 o più residenti";258,926254153252
"Giardini P.ta Venezia (3)";"1 residente";3,90146112442017
"Giardini P.ta Venezia (3)";"2 residenti";2,94192504882813
"Giardini P.ta Venezia (3)";"3 residenti";6,02401542663574
"Giardini P.ta Venezia (3)";"4 residenti";4,02099776268005
"Giardini P.ta Venezia (3)";"5 o più residenti";6,02961754798889
"Guastalla (4)";"1 residente";3076,51405090094
"Guastalla (4)";"2 residenti";1776,23049420118
"Guastalla (4)";"3 residenti";939,188518583775
"Guastalla (4)";"4 residenti";732,338141262531
"Guastalla (4)";"5 o più residenti";268,146476745605
"Porta Vigentina - Porta Lodovica (5)";"1 residente";2607,78114825487
"Porta Vigentina - Porta Lodovica (5)";"2 residenti";1583,21716201305
"Porta Vigentina - Porta Lodovica (5)";"3 residenti";897,083069622517
"Porta Vigentina - Porta Lodovica (5)";"4 residenti";687,217351198196
"Porta Vigentina - Porta Lodovica (5)";"5 o più residenti";188,006691277027
"Porta Ticinese - Conca del Naviglio (6)";"1 residente";5299,06073373556
"Porta Ticinese - Conca del Naviglio (6)";"2 residenti";2370,67098146677
"Porta Ticinese - Conca del Naviglio (6)";"3 residenti";1238,38138186932
"Porta Ticinese - Conca del Naviglio (6)";"4 residenti";867,358070254326
"Porta Ticinese - Conca del Naviglio (6)";"5 o più residenti";212,528830051422
"Magenta - S.Vittore (7)";"1 residente";3301,18456912041
"Magenta - S.Vittore (7)";"2 residenti";2082,08048796654
"Magenta - S.Vittore (7)";"3 residenti";1126,03603374958
"Magenta - S.Vittore (7)";"4 residenti";885,436074733734
"Magenta - S.Vittore (7)";"5 o più residenti";322,262856781483
"Porta Garibaldi - Porta Nuova (9)";"1 residente";1238,71065926552
"Porta Garibaldi - Porta Nuova (9)";"2 residenti";665,764628112316
"Porta Garibaldi - Porta Nuova (9)";"3 residenti";372,078311085701
"Porta Garibaldi - Porta Nuova (9)";"4 residenti";217,909240305424
"Porta Garibaldi - Porta Nuova (9)";"5 o più residenti";66,6661885976791
"Stazione Centrale - Ponte Seveso (10)";"1 residente";3479,9184051156
"Stazione Centrale - Ponte Seveso (10)";"2 residenti";2041,72441369295
"Stazione Centrale - Ponte Seveso (10)";"3 residenti";1195,28240758181
"Stazione Centrale - Ponte Seveso (10)";"4 residenti";726,651990711689
"Stazione Centrale - Ponte Seveso (10)";"5 o più residenti";267,422751426697
"Isola (11)";"1 residente";4927,44537949562
"Isola (11)";"2 residenti";2800,19125032425
"Isola (11)";"3 residenti";1374,50339758396
"Isola (11)";"4 residenti";990,453282952309
"Isola (11)";"5 o più residenti";257,406684935093
"Maciachini - Maggiolina (12)";"1 residente";5197,47125828266
"Maciachini - Maggiolina (12)";"2 residenti";3357,60752654076
"Maciachini - Maggiolina (12)";"3 residenti";1765,45225065947
"Maciachini - Maggiolina (12)";"4 residenti";1224,5931391716
"Maciachini - Maggiolina (12)";"5 o più residenti";334,875812292099
"Greco - Segnano (13)";"1 residente";2764,26786756516
"Greco - Segnano (13)";"2 residenti";1897,91583168507
"Greco - Segnano (13)";"3 residenti";1055,92945444584
"Greco - Segnano (13)";"4 residenti";716,31147134304
