"NIL (Nuclei di Identità Locale)";"Numero di stanze";"Abitazioni"
"Duomo (1)";"Fino a 2 stanze";1417,96769350767
"Duomo (1)";"3 o 4 stanze";2718,37215566635
"Duomo (1)";"5 o più stanze";3277,6601677537
"Brera (2)";"Fino a 2 stanze";1682,79834628105
"Brera (2)";"3 o 4 stanze";3149,77746343613
"Brera (2)";"5 o più stanze";3424,42423713207
"Giardini P.ta Venezia (3)";"Fino a 2 stanze";2,94192504882813
"Giardini P.ta Venezia (3)";"5 o più stanze";19,9760918617249
"Guastalla (4)";"Fino a 2 stanze";1249,86717611551
"Guastalla (4)";"3 o 4 stanze";2332,0023278594
"Guastalla (4)";"5 o più stanze";3210,54817771912
"Porta Vigentina - Porta Lodovica (5)";"Fino a 2 stanze";1066,02250832319
"Porta Vigentina - Porta Lodovica (5)";"3 o 4 stanze";2378,81343257427
"Porta Vigentina - Porta Lodovica (5)";"5 o più stanze";2518,4694814682
"Porta Ticinese - Conca del Naviglio (6)";"Fino a 2 stanze";3152,84314858913
"Porta Ticinese - Conca del Naviglio (6)";"3 o 4 stanze";4784,67163968086
"Porta Ticinese - Conca del Naviglio (6)";"5 o più stanze";2050,4852091074
"Magenta - S.Vittore (7)";"Fino a 2 stanze";1184,8936316967
"Magenta - S.Vittore (7)";"3 o 4 stanze";2973,39783161879
"Magenta - S.Vittore (7)";"5 o più stanze";3558,70855903625
"Porta Garibaldi - Porta Nuova (9)";"Fino a 2 stanze";662,812487483025
"Porta Garibaldi - Porta Nuova (9)";"3 o 4 stanze";1308,0625718236
"Porta Garibaldi - Porta Nuova (9)";"5 o più stanze";590,253968060017
"Stazione Centrale - Ponte Seveso (10)";"Fino a 2 stanze";1709,54156208038
"Stazione Centrale - Ponte Seveso (10)";"3 o 4 stanze";3833,42375814915
"Stazione Centrale - Ponte Seveso (10)";"5 o più stanze";2168,03464829922
"Isola (11)";"Fino a 2 stanze";3465,62801557779
"Isola (11)";"3 o 4 stanze";5167,57504963875
"Isola (11)";"5 o più stanze";1716,79693007469
"Maciachini - Maggiolina (12)";"Fino a 2 stanze";3040,33948540688
"Maciachini - Maggiolina (12)";"3 o 4 stanze";6418,96436524391
"Maciachini - Maggiolina (12)";"5 o più stanze";2420,6961362958
"Greco - Segnano (13)";"Fino a 2 stanze";2034,3175432682
"Greco - Segnano (13)";"3 o 4 stanze";3292,88045704365
"Greco - Segnano (13)";"5 o più stanze";1295,39674448967
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Fino a 2 stanze";5169,91195118427
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"3 o 4 stanze";8759,77246809006
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"5 o più stanze";2725,31555178761
"Bicocca (15)";"Fino a 2 stanze";714,651814758778
"Bicocca (15)";"3 o 4 stanze";1794,6918361187
"Bicocca (15)";"5 o più stanze";390,279610216618
"Gorla - Precotto (16)";"Fino a 2 stanze";3564,58557605743
"Gorla - Precotto (16)";"3 o 4 stanze";7005,06855601072
"Gorla - Precotto (16)";"5 o più stanze";1551,34584611654
"Adriano (17)";"Fino a 2 stanze";1301,81844228506
"Adriano (17)";"3 o 4 stanze";3393,47509646416
"Adriano (17)";"5 o più stanze";844,342016041279
"Cimiano - Rottole - Q.re Feltre (18)";"Fino a 2 stanze";2115,73305869102
"Cimiano - Rottole - Q.re Feltre (18)";"3 o 4 stanze";5511,78307849169
"Cimiano - Rottole - Q.re Feltre (18)";"5 o più stanze";1618,48385059834
"Padova - Turro - Crescenzago (19)";"Fino a 2 stanze";5928,87957322598
"Padova - Turro - Crescenzago (19)";"3 o 4 stanze";8444,84002310038
"Padova - Turro - Crescenzago (19)";"5 o più stanze";1448,28049451113
"Loreto - Casoretto - NoLo (20)";"Fino a 2 stanze";7177,19832223654
"Loreto - Casoretto - NoLo (20)";"3 o 4 stanze";9844,41752135754
"Loreto - Casoretto - NoLo (20)";"5 o più stanze";2275,38415330648
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Fino a 2 stanze";5881,41115891933
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"3 o 4 stanze";13983,4327232838
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"5 o più stanze";8900,15619105101
"Citta' studi (22)";"Fino a 2 stanze";5164,50291234255
"Citta' studi (22)";"3 o 4 stanze";9586,15310239792
"Citta' studi (22)";"5 o più stanze";3132,34394150972
"Lambrate - Ortica (23)";"Fino a 2 stanze";1434,13998180628
"Lambrate - Ortica (23)";"3 o 4 stanze";2417,64147937298
"Lambrate - Ortica (23)";"5 o più stanze";578,040103793144
"Parco Forlanini - Cavriano (24)";"Fino a 2 stanze";153,026401102543
"Parco Forlanini - Cavriano (24)";"3 o 4 stanze";184,732695758343
"Parco Forlanini - Cavriano (24)";"5 o più stanze";38,1149985790253
"Corsica (25)";"Fino a 2 stanze";2595,81842958927
"Corsica (25)";"3 o 4 stanze";4598,01000368595
"Corsica (25)";"5 o più stanze";1966,17151427269
"XXII Marzo (26)";"Fino a 2 stanze";3095,22495120764
"XXII Marzo (26)";"3 o 4 stanze";7646,75665646791
"XXII Marzo (26)";"5 o più stanze";3964,01841372252
"Pta Romana (27)";"Fino a 2 stanze";2410,7954236269
"Pta Romana (27)";"3 o 4 stanze";4125,08552354574
"Pta Romana (27)";"5 o più stanze";1623,1190071702
"Umbria - Molise - Calvairate (28)";"Fino a 2 stanze";4056,03830397129
"Umbria - Molise - Calvairate (28)";"3 o 4 stanze";5517,88394129276
"Umbria - Molise - Calvairate (28)";"5 o più stanze";1264,07772624493
"Ortomercato (29)";"Fino a 2 stanze";830,592454910278
"Ortomercato (29)";"3 o 4 stanze";834,679696917534
"Ortomercato (29)";"5 o più stanze";158,009677946568
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Fino a 2 stanze";1976,43869137764
"Taliedo - Morsenchio - Q.re Forlanini (30)";"3 o 4 stanze";5388,86200606823
"Taliedo - Morsenchio - Q.re Forlanini (30)";"5 o più stanze";1283,69931936264
"Monlue' - Ponte Lambro (31)";"Fino a 2 stanze";573,320271790028
"Monlue' - Ponte Lambro (31)";"3 o 4 stanze";835,202799320221
"Monlue' - Ponte Lambro (31)";"5 o più stanze";328,722722113132
"Triulzo Superiore (32)";"Fino a 2 stanze";382,966499388218
"Triulzo Superiore (32)";"3 o 4 stanze";281,044967353344
"Triulzo Superiore (32)";"5 o più stanze";15,9569626450539
"Rogoredo - Santa Giulia (33)";"Fino a 2 stanze";984,880109012127
