"NIL (Nuclei di Identità Locale)";"Figura giuridica del proprietario";"Abitazioni"
"Duomo (1)";"Persona fisica";5503,39464712143
"Duomo (1)";"Altro proprietario";1910,60536980629
"Brera (2)";"Persona fisica";6340,30366647244
"Brera (2)";"Altro proprietario";1916,69638037682
"Giardini P.ta Venezia (3)";"Persona fisica";2,09035563468933
"Giardini P.ta Venezia (3)";"Altro proprietario";20,8276612758636
"Guastalla (4)";"Persona fisica";5664,48797935247
"Guastalla (4)";"Altro proprietario";1127,92970234156
"Porta Vigentina - Porta Lodovica (5)";"Persona fisica";5336,9614507556
"Porta Vigentina - Porta Lodovica (5)";"Altro proprietario";626,343971610069
"Porta Ticinese - Conca del Naviglio (6)";"Persona fisica";8807,97752976418
"Porta Ticinese - Conca del Naviglio (6)";"Altro proprietario";1180,02246761322
"Magenta - S.Vittore (7)";"Persona fisica";6370,49846321344
"Magenta - S.Vittore (7)";"Altro proprietario";1346,5015591383
"Porta Garibaldi - Porta Nuova (9)";"Persona fisica";2283,26550298929
"Porta Garibaldi - Porta Nuova (9)";"Altro proprietario";277,863524377346
"Stazione Centrale - Ponte Seveso (10)";"Persona fisica";6861,84570389986
"Stazione Centrale - Ponte Seveso (10)";"Altro proprietario";849,154264628887
"Isola (11)";"Persona fisica";8685,47095495462
"Isola (11)";"Altro proprietario";1664,52904033661
"Maciachini - Maggiolina (12)";"Persona fisica";10607,6582850814
"Maciachini - Maggiolina (12)";"Altro proprietario";1272,3417018652
"Greco - Segnano (13)";"Persona fisica";6245,07533895969
"Greco - Segnano (13)";"Altro proprietario";377,519405841827
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Persona fisica";11667,9937595427
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Altro proprietario";4987,00621151924
"Bicocca (15)";"Persona fisica";2522,09221506119
"Bicocca (15)";"Altro proprietario";377,531046032906
"Gorla - Precotto (16)";"Persona fisica";11254,6392277479
"Gorla - Precotto (16)";"Altro proprietario";866,360750436783
"Adriano (17)";"Persona fisica";5292,70982497931
"Adriano (17)";"Altro proprietario";246,925729811192
"Cimiano - Rottole - Q.re Feltre (18)";"Persona fisica";8004,45175093412
"Cimiano - Rottole - Q.re Feltre (18)";"Altro proprietario";1241,54823684692
"Padova - Turro - Crescenzago (19)";"Persona fisica";14222,9892090559
"Padova - Turro - Crescenzago (19)";"Altro proprietario";1599,01088178158
"Loreto - Casoretto - NoLo (20)";"Persona fisica";17496,7351860404
"Loreto - Casoretto - NoLo (20)";"Altro proprietario";1800,26481086016
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Persona fisica";26049,5968822837
