"NIL (Nuclei di Identità Locale)";"Classe di superficie";"Abitazioni"
"Duomo (1)";"Fino a 59 mq.";1255,61251026392
"Duomo (1)";"60-89 mq.";1493,0527741909
"Duomo (1)";"90 mq. e più";4665,3347324729
"Brera (2)";"Fino a 59 mq.";1472,4825501442
"Brera (2)";"60-89 mq.";1775,38204526901
"Brera (2)";"90 mq. e più";5009,13545143604
"Giardini P.ta Venezia (3)";"90 mq. e più";22,918016910553
"Guastalla (4)";"Fino a 59 mq.";1152,07943868637
"Guastalla (4)";"60-89 mq.";1303,67409276962
"Guastalla (4)";"90 mq. e più";4336,66415023804
"Porta Vigentina - Porta Lodovica (5)";"Fino a 59 mq.";996,259121656418
"Porta Vigentina - Porta Lodovica (5)";"60-89 mq.";1220,63680279255
"Porta Vigentina - Porta Lodovica (5)";"90 mq. e più";3746,4094979167
"Porta Ticinese - Conca del Naviglio (6)";"Fino a 59 mq.";3035,98498773575
"Porta Ticinese - Conca del Naviglio (6)";"60-89 mq.";3205,88612473011
"Porta Ticinese - Conca del Naviglio (6)";"90 mq. e più";3746,12888491154
"Magenta - S.Vittore (7)";"Fino a 59 mq.";1122,00790727139
"Magenta - S.Vittore (7)";"60-89 mq.";1543,67074143887
"Magenta - S.Vittore (7)";"90 mq. e più";5051,32137364149
"Porta Garibaldi - Porta Nuova (9)";"Fino a 59 mq.";600,520222187042
"Porta Garibaldi - Porta Nuova (9)";"60-89 mq.";873,745048105717
"Porta Garibaldi - Porta Nuova (9)";"90 mq. e più";1086,86375707388
"Stazione Centrale - Ponte Seveso (10)";"Fino a 59 mq.";1546,57092541456
"Stazione Centrale - Ponte Seveso (10)";"60-89 mq.";2389,69589710236
"Stazione Centrale - Ponte Seveso (10)";"90 mq. e più";3774,73314601183
"Isola (11)";"Fino a 59 mq.";3406,11344051361
"Isola (11)";"60-89 mq.";3653,95454889536
"Isola (11)";"90 mq. e più";3289,93200588226
"Maciachini - Maggiolina (12)";"Fino a 59 mq.";3228,97946935892
"Maciachini - Maggiolina (12)";"60-89 mq.";4728,63454556465
"Maciachini - Maggiolina (12)";"90 mq. e più";3922,38597202301
"Greco - Segnano (13)";"Fino a 59 mq.";2083,86314702034
"Greco - Segnano (13)";"60-89 mq.";2415,97852122784
"Greco - Segnano (13)";"90 mq. e più";2122,75307655334
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Fino a 59 mq.";5950,91127598286
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"60-89 mq.";6446,70122861862
"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"90 mq. e più";4257,38746646047
"Bicocca (15)";"Fino a 59 mq.";792,022470474243
"Bicocca (15)";"60-89 mq.";1177,3113629818
"Bicocca (15)";"90 mq. e più";930,289427638054
"Gorla - Precotto (16)";"Fino a 59 mq.";4031,03142535686
"Gorla - Precotto (16)";"60-89 mq.";4774,5695105195
"Gorla - Precotto (16)";"90 mq. e più";3315,39904230833
"Adriano (17)";"Fino a 59 mq.";1528,34535729885
"Adriano (17)";"60-89 mq.";2233,91639775038
"Adriano (17)";"90 mq. e più";1777,37379974127
"Cimiano - Rottole - Q.re Feltre (18)";"Fino a 59 mq.";2645,61102044582
"Cimiano - Rottole - Q.re Feltre (18)";"60-89 mq.";3821,53595370054
"Cimiano - Rottole - Q.re Feltre (18)";"90 mq. e più";2778,85301363468
"Padova - Turro - Crescenzago (19)";"Fino a 59 mq.";6603,42087388039
"Padova - Turro - Crescenzago (19)";"60-89 mq.";6128,59894490242
"Padova - Turro - Crescenzago (19)";"90 mq. e più";3089,98027205467
"Loreto - Casoretto - NoLo (20)";"Fino a 59 mq.";7479,83472293615
"Loreto - Casoretto - NoLo (20)";"60-89 mq.";6909,21660023928
"Loreto - Casoretto - NoLo (20)";"90 mq. e più";4907,94867372513
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"Fino a 59 mq.";5841,76537919044
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"60-89 mq.";8501,99054205418
"Buenos Aires - Porta Venezia - Porta Monforte (21)";"90 mq. e più";14421,2441520095
"Citta' studi (22)";"Fino a 59 mq.";5306,67575436831
"Citta' studi (22)";"60-89 mq.";6705,50623881817
"Citta' studi (22)";"90 mq. e più";5870,81796306372
"Lambrate - Ortica (23)";"Fino a 59 mq.";1476,53437185287
"Lambrate - Ortica (23)";"60-89 mq.";1649,16827005148
"Lambrate - Ortica (23)";"90 mq. e più";1304,11892306805
"Parco Forlanini - Cavriano (24)";"Fino a 59 mq.";130,420098543167
"Parco Forlanini - Cavriano (24)";"60-89 mq.";156,229791164398
"Parco Forlanini - Cavriano (24)";"90 mq. e più";89,2242057323456
"Corsica (25)";"Fino a 59 mq.";2439,24876868725
"Corsica (25)";"60-89 mq.";3218,17968738079
"Corsica (25)";"90 mq. e più";3502,57149147987
"XXII Marzo (26)";"Fino a 59 mq.";3217,33714580536
"XXII Marzo (26)";"60-89 mq.";4690,93983983994
"XXII Marzo (26)";"90 mq. e più";6797,72303575277
"Pta Romana (27)";"Fino a 59 mq.";2377,81978368759
"Pta Romana (27)";"60-89 mq.";2740,46347332001
"Pta Romana (27)";"90 mq. e più";3040,71669733524
"Umbria - Molise - Calvairate (28)";"Fino a 59 mq.";4485,53145647049
"Umbria - Molise - Calvairate (28)";"60-89 mq.";3585,68469893932
"Umbria - Molise - Calvairate (28)";"90 mq. e più";2766,78381609917
"Ortomercato (29)";"Fino a 59 mq.";862,300762295723
"Ortomercato (29)";"60-89 mq.";663,091134786606
"Ortomercato (29)";"90 mq. e più";297,889932692051
"Taliedo - Morsenchio - Q.re Forlanini (30)";"Fino a 59 mq.";2365,86915934086
"Taliedo - Morsenchio - Q.re Forlanini (30)";"60-89 mq.";4528,15169596672
"Taliedo - Morsenchio - Q.re Forlanini (30)";"90 mq. e più";1754,97916150093
"Monlue' - Ponte Lambro (31)";"Fino a 59 mq.";661,385958909988
"Monlue' - Ponte Lambro (31)";"60-89 mq.";598,213076353073
"Monlue' - Ponte Lambro (31)";"90 mq. e più";477,64675796032
"Triulzo Superiore (32)";"Fino a 59 mq.";408,578141570091
"Triulzo Superiore (32)";"60-89 mq.";197,093798696995
"Triulzo Superiore (32)";"90 mq. e più";74,2964891195297
"Rogoredo - Santa Giulia (33)";"Fino a 59 mq.";1048,35219871998
"Rogoredo - Santa Giulia (33)";"60-89 mq.";1671,78299832344
"Rogoredo - Santa Giulia (33)";"90 mq. e più";1264,11768978834
"Chiaravalle (34)";"Fino a 59 mq.";136,43568444252
"Chiaravalle (34)";"60-89 mq.";147,964315474033
