Municipio;NIL;Anno Ritiro;Descr Titolo Abilitativo;Numero Abitazioni;Numero Stanze;Numero Vani Accessori Interni;Numero Piani;Volume Totale V/p;Superficie Utile Abitabile;Superficie Accessori Esterni;Superficie Agricoltura;Superficie Attivita' Produttive;Superficie Commercio;Superficie Servizi;Specifica Altra Attivita';Descr_Titolare Titolo Costruire;Consumo Energetico;Rapporto Forma;Fotovoltaico;Solare Termico;Pompe Calore;Caldaia A Condensazione;Geotermico;Nessun Impianto Tra I Citati;PianoCasa
7;;2012;DIA;23;75;83;10;11330;1880;1752;0;0;0;0;;Altro;20;0,48;SI;;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;;2013;DIA;15;51;48;7;6920;1129;959;0;0;0;0;;Altro;40;0,49;;SI;SI;SI;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;Bande Nere;2012;DIA;1;3;3;7;3511;65;1325;0;0;0;0;;Altro;93;0,27;;SI;;SI;;;
7;;2011;DIA;4;4;8;3;2030;153;472;50;0;0;0;;Persona Fisica;66;0,81;;;;;;;
7;;2013;DIA;5;19;17;3;3340;456;404;0;0;0;0;;Persona Fisica;11;0,57;SI;SI;SI;;;;
7;;2013;DIA;9;26;36;4;1902;582;770;0;0;0;0;;Altro;32;0,59;SI;SI;;;;;
7;Forze Armate;2011;DIA;44;74;90;6;11880;1847;2208;0;0;300;0;;Cooperativa Edilizia;;0;SI;;;;SI;;
7;Forze Armate;2011;DIA;20;56;81;5;11625;1600;1297;0;0;0;0;;Cooperativa Edilizia;;0;;;;;SI;;
7;Forze Armate;2011;DIA;26;88;48;6;8865;1429;2384;0;0;0;0;;Cooperativa Edilizia;;0;;;;;SI;;
7;Forze Armate;2011;DIA;124;391;394;8;26975;8004;6533;0;0;418;858;;Persona Fisica;26;0,48;;;SI;;;;
7;;2012;DIA;7;13;14;6;2616;362;436;0;0;0;0;;Altro;;0,66;;;;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;De Angeli - Monte Rosa;2012;DIA;10;35;31;6;2274;679;595;0;0;0;0;;Impresa;6;0,54;;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;De Angeli - Monte Rosa;2012;Permesso di Costruire;41;156;261;8;27411;4212;6488;0;0;0;0;;Altro;16;0,38;SI;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;De Angeli - Monte Rosa;2011;DIA;1;1;1;1;108;29;0;0;0;0;0;;Persona Fisica;;0;;;SI;;;;Accordo Stato-Regioni del 1-4-2009 (ampliamento o demolizione/ricostruzione)
7;De Angeli - Monte Rosa;2013;DIA;10;44;48;4;15755;1000;605;0;0;0;0;;Persona Fisica;25;0,45;;;SI;;SI;;
7;Quarto Cagnino;2012;DIA;28;112;110;14;22364;2223;4526;0;0;0;0;UFFICI;Cooperativa Edilizia;28;0,56;SI;SI;SI;;;;
7;Quarto Cagnino;2011;DIA;2;5;6;2;556;105;44;0;0;0;0;;Persona Fisica;82;0,94;;;;SI;;;
7;Figino;2012;DIA;26;90;99;6;7047;2082;365;0;0;0;0;UFFICI/LABORATORI DIDATTICI;Altro;30;0,48;;;SI;;SI;;
7;Figino;2012;DIA;23;83;72;6;12400;1756;668;0;0;401;0;;Altro;28;0,37;;;SI;;SI;;
7;Figino;2012;DIA;33;123;89;15;16230;2270;960;0;0;155;0;;Altro;27;0,32;;;SI;;SI;;
7;Figino;2012;DIA;15;51;46;4;6048;1172;614;0;0;0;0;;Altro;36;0,51;;;SI;;SI;;
7;Figino;2012;DIA;14;40;35;4;6934;838;1340;0;0;0;0;;Cooperativa Edilizia;28;0,4;;;;;;;
7;Figino;2012;DIA;18;41;43;4;5387;1177;384;0;0;0;0;;Altro;3;0,47;;;SI;;SI;;
7;Figino;2012;DIA;24;66;76;3;8084;1543;879;0;0;0;0;;Altro;35;0,52;;;SI;;SI;;
7;Figino;2012;DIA;25;72;85;6;11000;1621;1055;0;0;400;0;;Altro;23;0,35;;;SI;;SI;;
7;Figino;2012;DIA;15;59;60;3;6041;1190;998;0;0;0;0;;Altro;29;0,57;;;SI;;SI;;
7;Figino;2012;DIA;33;106;102;5;11638;2124;1842;0;0;0;0;Ecoclub;Altro;30;0,5;;;SI;;SI;;
7;Figino;2012;DIA;15;49;43;5;6603;1177;772;0;0;0;0;;Altro;38;0,53;;;SI;;SI;;
7;Figino;2012;DIA;12;39;33;3;3825;848;334;0;0;0;0;;Altro;36;0,52;;;SI;;SI;;
7;Figino;2012;DIA;25;86;90;6;6051;1726;698;0;0;0;0;;Altro;29;0,45;;;SI;;SI;;
7;Figino;2012;DIA;17;56;69;5;4419;1281;433;0;0;0;0;LAVANDERIA CONDOMINIALE;Altro;39;0,44;;;SI;;SI;;
7;Figino;2012;DIA;3;13;12;2;1123;241;85;0;0;0;0;;Altro;53;0,75;;;SI;;SI;;
7;Figino;2012;DIA;10;34;30;4;3298;696;233;0;0;0;0;;Altro;38;0,47;;;SI;;SI;;
